ctx_tokens,upstream_prefill_tps,optimized_prefill_tps,prefill_delta_pct,upstream_gen_tps,optimized_gen_tps,gen_delta_pct
2048,399.99,393.63,-1.59,13.75,15.85,15.27
4096,396.68,388.85,-1.97,13.79,15.87,15.08
6144,389.89,383.82,-1.56,13.78,15.85,15.02
8192,385.19,380.03,-1.34,13.57,15.74,15.99
10240,378.48,374.50,-1.05,13.48,15.68,16.32
12288,374.76,370.88,-1.04,13.43,15.60,16.16
14336,370.98,367.45,-0.95,13.37,15.50,15.93
16384,368.24,365.49,-0.75,13.41,15.45,15.21
18432,365.34,362.47,-0.79,13.33,15.38,15.38
20480,361.76,358.80,-0.82,13.27,15.25,14.92
22528,358.79,355.92,-0.80,13.21,15.18,14.91
24576,354.69,352.95,-0.49,13.13,15.07,14.78
26624,352.21,349.50,-0.77,13.03,14.98,14.97
28672,349.65,346.76,-0.83,12.97,14.89,14.80
30720,346.19,343.97,-0.64,12.87,14.82,15.15
32768,343.21,340.86,-0.68,12.52,14.74,17.73
34816,330.45,327.96,-0.75,12.41,14.60,17.65
36864,327.97,325.70,-0.69,12.37,14.52,17.38
38912,325.25,323.39,-0.57,12.32,14.48,17.53
40960,322.69,320.93,-0.55,12.31,14.45,17.38
43008,319.89,318.11,-0.56,12.26,14.37,17.21
45056,317.63,315.99,-0.52,12.19,14.32,17.47
47104,315.22,313.40,-0.58,12.15,14.26,17.37
49152,312.45,310.40,-0.66,12.11,14.22,17.42
51200,308.22,306.52,-0.55,12.05,14.13,17.26
53248,305.65,303.83,-0.60,11.97,14.02,17.13
55296,303.22,301.92,-0.43,11.92,13.98,17.28
57344,301.31,299.64,-0.55,11.87,13.92,17.27
59392,298.98,297.47,-0.51,11.82,13.84,17.09
61440,296.89,295.68,-0.41,11.74,13.75,17.12
63488,294.39,293.28,-0.38,11.69,13.69,17.11
65536,292.98,291.42,-0.53,11.66,13.66,17.15
67584,287.97,287.10,-0.30,11.59,13.56,17.00
69632,286.13,285.12,-0.35,11.54,13.52,17.16
71680,284.45,283.22,-0.43,11.49,13.43,16.88
73728,282.36,281.17,-0.42,11.46,13.41,17.02
75776,280.35,279.53,-0.29,11.44,13.37,16.87
77824,278.63,277.61,-0.37,11.40,13.29,16.58
79872,276.69,275.79,-0.33,11.34,13.25,16.84
81920,274.94,273.84,-0.40,11.30,13.17,16.55
83968,271.26,270.36,-0.33,11.26,13.13,16.61
86016,269.32,268.31,-0.38,11.21,13.06,16.50
88064,267.57,266.86,-0.27,11.16,13.01,16.58
90112,265.95,265.31,-0.24,11.11,12.94,16.47
92160,264.42,263.37,-0.40,11.08,12.90,16.43
94208,262.83,261.89,-0.36,11.03,12.84,16.41
96256,261.18,260.08,-0.42,10.97,12.80,16.68
98304,259.57,258.84,-0.28,10.93,12.73,16.47
100000,249.71,248.73,-0.39,10.91,12.66,16.04
