ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,gen_token_hash,last_token
2048,2048,393.63,128,15.85,52184460,90480f525c2625b3,14
4096,2048,388.85,128,15.87,80373132,acf20724fb8146de,11898
6144,2048,383.82,128,15.85,108561804,1006ee7353c5988e,25232
8192,2048,380.03,128,15.74,136750476,0954e5b5d48539e8,17724
10240,2048,374.50,128,15.68,164939148,7e85305830b84c61,5007
12288,2048,370.88,128,15.60,193127820,4925fb63ee3a752e,14
14336,2048,367.45,128,15.50,221316492,e3c540d3b2145c26,21901
16384,2048,365.49,128,15.45,249505164,4c690ef7e7e9f4bf,201
18432,2048,362.47,128,15.38,277693836,58b1c85796b3d2ec,434
20480,2048,358.80,128,15.25,305882508,23de431cbed6f05c,414
22528,2048,355.92,128,15.18,334071180,4b99f8401f11981e,9
24576,2048,352.95,128,15.07,362259852,e44c3a7060e44f24,3221
26624,2048,349.50,128,14.98,390448524,99c5d4c63f06ace2,312
28672,2048,346.76,128,14.89,418637196,df1b4c986110126f,4319
30720,2048,343.97,128,14.82,446825868,c60ed6d503f36a4d,60039
32768,2048,340.86,128,14.74,475014540,b28fbd181cbb5d92,14
34816,2048,327.96,128,14.60,503203212,fa5010e87c3795fe,9
36864,2048,325.70,128,14.52,531391884,adcf512d3e8afe81,13530
38912,2048,323.39,128,14.48,559580556,546da134a590d6a8,1298
40960,2048,320.93,128,14.45,587769228,7911e3a99be1f990,716
43008,2048,318.11,128,14.37,615957900,17aa62aca2a2ad0e,17643
45056,2048,315.99,128,14.32,644146572,d1dc4a4299114d1a,21901
47104,2048,313.40,128,14.26,672335244,1523d82813007179,36281
49152,2048,310.40,128,14.22,700523916,c83f8d8ddf7b6b1c,14
51200,2048,306.52,128,14.13,728712588,93ea0ed762fbe54d,14
53248,2048,303.83,128,14.02,756901260,759d6d091f9c8055,3423
55296,2048,301.92,128,13.98,785089932,4e47d790277da56f,71
57344,2048,299.64,128,13.92,813278604,f1fd32df76fdceea,3706
59392,2048,297.47,128,13.84,841467276,43af41499211d322,122165
61440,2048,295.68,128,13.75,869655948,0d8e8a4ef51439be,274
63488,2048,293.28,128,13.69,897844620,035ac6ce02dc4a63,14
65536,2048,291.42,128,13.66,926033292,c634b5c0d44dee45,10910
67584,2048,287.10,128,13.56,954221964,92480db542c4aa2a,2408
69632,2048,285.12,128,13.52,982410636,e0d933b93dfa9827,312
71680,2048,283.22,128,13.43,1010599308,ad391021e7898e92,614
73728,2048,281.17,128,13.41,1038787980,a0c1d397b2d3ee0e,3693
75776,2048,279.53,128,13.37,1066976652,084a7dbf42172ac7,592
77824,2048,277.61,128,13.29,1095165324,2e08a10d1842f157,1110
79872,2048,275.79,128,13.25,1123353996,18a9bab660c86ff1,20347
81920,2048,273.84,128,13.17,1151542668,ff1594e759a17ccd,269
83968,2048,270.36,128,13.13,1179731340,49577d98f1ddafec,3706
86016,2048,268.31,128,13.06,1207920012,055204df1939d4cc,71
88064,2048,266.86,128,13.01,1236108684,d986042052ed6f13,847
90112,2048,265.31,128,12.94,1264297356,5fd9d0a3cac23d94,3446
92160,2048,263.37,128,12.90,1292486028,ecf64412309f0c23,14
94208,2048,261.89,128,12.84,1320674700,6974bd5599d4e1ca,2615
96256,2048,260.08,128,12.80,1348863372,da94bd629d53d0d0,1520
98304,2048,258.84,128,12.73,1377052044,66cdeda66d5e9c9b,67242
100000,1696,248.73,128,12.66,1400385548,14082f6c938d8771,1298
