ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,399.99,128,13.75,52184460
4096,2048,396.68,128,13.79,80373132
6144,2048,389.89,128,13.78,108561804
8192,2048,385.19,128,13.57,136750476
10240,2048,378.48,128,13.48,164939148
12288,2048,374.76,128,13.43,193127820
14336,2048,370.98,128,13.37,221316492
16384,2048,368.24,128,13.41,249505164
18432,2048,365.34,128,13.33,277693836
20480,2048,361.76,128,13.27,305882508
22528,2048,358.79,128,13.21,334071180
24576,2048,354.69,128,13.13,362259852
26624,2048,352.21,128,13.03,390448524
28672,2048,349.65,128,12.97,418637196
30720,2048,346.19,128,12.87,446825868
32768,2048,343.21,128,12.52,475014540
34816,2048,330.45,128,12.41,503203212
36864,2048,327.97,128,12.37,531391884
38912,2048,325.25,128,12.32,559580556
40960,2048,322.69,128,12.31,587769228
43008,2048,319.89,128,12.26,615957900
45056,2048,317.63,128,12.19,644146572
47104,2048,315.22,128,12.15,672335244
49152,2048,312.45,128,12.11,700523916
51200,2048,308.22,128,12.05,728712588
53248,2048,305.65,128,11.97,756901260
55296,2048,303.22,128,11.92,785089932
57344,2048,301.31,128,11.87,813278604
59392,2048,298.98,128,11.82,841467276
61440,2048,296.89,128,11.74,869655948
63488,2048,294.39,128,11.69,897844620
65536,2048,292.98,128,11.66,926033292
67584,2048,287.97,128,11.59,954221964
69632,2048,286.13,128,11.54,982410636
71680,2048,284.45,128,11.49,1010599308
73728,2048,282.36,128,11.46,1038787980
75776,2048,280.35,128,11.44,1066976652
77824,2048,278.63,128,11.40,1095165324
79872,2048,276.69,128,11.34,1123353996
81920,2048,274.94,128,11.30,1151542668
83968,2048,271.26,128,11.26,1179731340
86016,2048,269.32,128,11.21,1207920012
88064,2048,267.57,128,11.16,1236108684
90112,2048,265.95,128,11.11,1264297356
92160,2048,264.42,128,11.08,1292486028
94208,2048,262.83,128,11.03,1320674700
96256,2048,261.18,128,10.97,1348863372
98304,2048,259.57,128,10.93,1377052044
100000,1696,249.71,128,10.91,1400385548
