label,prompt_tokens,prefill_tps,generation_tps,elapsed_s,first_stdout_s,min_usable_kib,swap_in_mib,swap_out_mib,max_observed_gpu_c,thermal_active_samples
output-a-code-t0,254536,752.42,12.38,373.5235252340008,360.0034782750008,5253856,,,88,4
output-a-code-t1,254536,754.0,12.39,385.08099238400064,359.03694747699956,4716136,,,89,3
output-a-recall-t0,254932,755.36,12.39,365.6581179780005,359.14847854100026,4891000,,,,0
output-a-recall-t1,254932,754.57,12.35,366.03211825499966,359.5218312199995,5042320,,,88,1
output-b-code-t0,254536,753.21,12.18,373.1500887050006,359.12749295200047,4755268,,,89,1
output-b-code-t1,254536,754.26,12.15,380.5677141519991,359.0474915779996,4794788,,,88,0
output-b-recall-t0,254932,751.54,12.14,367.42413119499906,360.41735238599904,4647564,,,88,0
output-b-recall-t1,254932,755.02,12.1,366.10403434300133,359.09451824400094,4531196,,,87,1
output-c-code-t0,254536,752.47,12.59,373.0020781160001,359.49022809899907,4964440,,,88,0
output-c-code-t1,254536,754.17,12.55,384.57631123099964,359.0444618250003,5107404,,,88,1
output-c-recall-t0,254932,753.25,12.32,366.5586774069998,360.05108095499963,4748164,,,88,0
output-c-recall-t1,254932,754.06,12.5,367.518900142999,360.0106019469986,4879104,,,88,0
spec-c-code-dspark-exact-p4096-r1,254536,629.29,13.55,448.90709505799896,427.86476435999975,1714672,4820.75390625,3348.171875,88,2
spec-c-code-dspark-exact-p512-r1,254536,558.77,13.94,501.50295630800247,478.45993178000026,6654100,3.984375,0.0,87,0
spec-c-code-dspark-greedy-p4096-r1,254536,661.14,17.42,415.96694887800004,407.907194469999,1492548,573.0859375,380.4375,88,6
spec-c-code-dspark-opportunistic-p4096-r1,254536,677.96,17.69,415.57178754099914,399.04803870899923,1625932,510.9765625,618.14453125,88,4
spec-c-code-target-sampled-p512-r1,254536,558.68,12.51,495.5231952489994,477.5072165549991,11098320,17.2890625,0.22265625,87,0
spec-c-prose-dspark-exact-p4096-r1,254424,698.59,11.91,425.205461096999,387.6539244830001,1438556,122.40625,508.5,87,1
spec-c-prose-dspark-greedy-p4096-r1,254424,707.23,12.25,419.17644879600084,383.11666857400087,1465768,309.36328125,581.53125,87,0
spec-c-prose-dspark-opportunistic-p4096-r1,254424,713.05,12.16,420.76028921099896,380.190643689999,1461776,79.28515625,350.17578125,87,0
spec-c-prose-target-greedy-p4096-r1,254424,754.93,12.6,391.21523916000115,358.65149912800007,4558440,39.20703125,0.03515625,88,0
spec-c-prose-target-sampled-p4096-r1,254424,753.54,12.43,398.1198705120005,359.5830157849996,5396784,20.8984375,4.08203125,88,0
