ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,830.90,128,21.62,62.819,127,21.69,52184460
4096,2048,889.91,128,18.03,49.047,127,18.02,80373132
6144,2048,883.03,128,17.90,57.521,127,17.91,108561804
8192,2048,878.90,128,17.68,57.954,127,17.70,136750476
10240,2048,870.07,128,17.56,58.624,127,17.58,164939148
12288,2048,867.04,128,17.49,58.162,127,17.50,193127820
14336,2048,865.31,128,17.42,59.780,127,17.44,221316492
16384,2048,869.54,128,17.53,58.766,127,17.54,249505164
18432,2048,865.81,128,17.47,59.001,127,17.48,277693836
20480,2048,861.91,128,17.40,58.394,127,17.41,305882508
22528,2048,859.20,128,17.35,59.270,127,17.36,334071180
24576,2048,856.49,128,17.30,59.365,127,17.31,362259852
26624,2048,855.44,128,17.25,60.314,127,17.26,390448524
28672,2048,855.51,128,17.20,59.044,127,17.21,418637196
30720,2048,851.01,128,17.14,59.771,127,17.15,446825868
32768,2048,850.89,128,16.66,59.914,127,16.66,475014540
34816,2048,844.52,128,16.56,61.929,127,16.57,503203212
36864,2048,844.15,128,16.51,62.530,127,16.53,531391884
38912,2048,842.71,128,16.47,62.594,127,16.48,559580556
40960,2048,839.89,128,16.43,62.091,127,16.44,587769228
43008,2048,839.45,128,16.39,61.752,127,16.40,615957900
45056,2048,833.40,128,16.34,63.025,127,16.35,644146572
47104,2048,830.55,128,16.30,63.794,127,16.31,672335244
49152,2048,830.02,128,16.25,62.447,127,16.26,700523916
51200,2048,834.02,128,16.20,63.203,127,16.21,728712588
53248,2048,831.73,128,16.16,62.502,127,16.17,756901260
55296,2048,826.42,128,16.11,64.034,127,16.12,785089932
57344,2048,824.06,128,16.06,63.786,127,16.07,813278604
59392,2048,821.70,128,16.00,63.091,127,16.01,841467276
61440,2048,821.72,128,15.96,64.147,127,15.97,869655948
63488,2048,822.66,128,15.92,63.910,127,15.93,897844620
65536,2048,821.55,128,15.86,64.633,127,15.87,0
