ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,388.20,128,18.25,71.319,127,18.41,52184460
4096,2048,379.08,128,15.82,57.628,127,15.90,80373132
6144,2048,373.78,128,15.72,65.345,127,15.81,108561804
8192,2048,370.32,128,15.48,66.169,127,15.57,136750476
10240,2048,364.64,128,15.38,67.219,127,15.47,164939148
12288,2048,360.89,128,15.34,66.192,127,15.42,193127820
14336,2048,357.80,128,15.29,64.631,127,15.37,221316492
16384,2048,356.18,128,15.36,66.620,127,15.45,249505164
18432,2048,352.35,128,15.32,66.421,127,15.41,277693836
20480,2048,349.41,128,15.29,69.375,127,15.37,305882508
22528,2048,346.32,128,15.25,66.888,127,15.34,334071180
24576,2048,343.18,128,15.20,67.215,127,15.28,362259852
26624,2048,339.72,128,15.17,68.398,127,15.26,390448524
28672,2048,337.16,128,15.13,66.276,127,15.21,418637196
30720,2048,334.30,128,15.05,65.691,127,15.13,446825868
32768,2048,331.13,128,14.62,67.170,127,14.69,475014540
34816,2048,318.36,128,14.56,70.798,127,14.64,503203212
36864,2048,315.89,128,14.51,70.461,127,14.59,531391884
38912,2048,313.21,128,14.49,72.046,127,14.57,559580556
40960,2048,310.68,128,14.45,70.957,127,14.53,587769228
43008,2048,308.39,128,14.41,72.071,127,14.48,615957900
45056,2048,305.57,128,14.37,71.478,127,14.44,644146572
47104,2048,303.08,128,14.35,71.734,127,14.43,672335244
49152,2048,300.71,128,14.31,72.125,127,14.38,700523916
51200,2048,295.89,128,14.26,72.126,127,14.33,728712588
53248,2048,293.88,128,14.23,71.888,127,14.30,756901260
55296,2048,291.31,128,14.18,72.696,127,14.25,785089932
57344,2048,289.40,128,14.16,71.336,127,14.23,813278604
59392,2048,286.98,128,14.12,72.363,127,14.19,841467276
61440,2048,284.83,128,14.09,72.600,127,14.16,869655948
63488,2048,282.73,128,14.04,74.050,127,14.11,897844620
65536,2048,280.72,128,13.98,73.847,127,14.05,0
