ctx_tokens,upstream_gen_tps,optimized_gen_tps,gen_gain_pct,upstream_prefill_tps,optimized_prefill_tps,prefill_delta_pct,upstream_kvcache_bytes,optimized_kvcache_bytes,kvcache_delta_bytes
2048,13.73,15.26,11.14,400.69,391.41,-2.32,52184460,52184460,0
4096,13.77,15.62,13.44,396.64,390.39,-1.58,80373132,80373132,0
6144,13.77,15.64,13.58,390.64,384.55,-1.56,108561804,108561804,0
8192,13.57,15.40,13.49,385.99,380.75,-1.36,136750476,136750476,0
10240,13.48,15.30,13.50,379.73,374.74,-1.31,164939148,164939148,0
12288,13.39,15.24,13.82,375.58,371.36,-1.12,193127820,193127820,0
14336,13.34,15.17,13.72,371.53,367.70,-1.03,221316492,221316492,0
16384,13.37,15.22,13.84,369.00,365.75,-0.88,249505164,249505164,0
18432,13.30,15.12,13.68,365.55,362.58,-0.81,277693836,277693836,0
20480,13.24,15.05,13.67,362.40,359.52,-0.79,305882508,305882508,0
22528,13.18,14.97,13.58,358.81,356.05,-0.77,334071180,334071180,0
24576,13.11,14.87,13.42,355.56,353.00,-0.72,362259852,362259852,0
26624,13.01,14.75,13.37,351.97,349.87,-0.60,390448524,390448524,0
28672,12.94,14.66,13.29,349.07,346.76,-0.66,418637196,418637196,0
30720,12.85,14.55,13.23,346.08,344.43,-0.48,446825868,446825868,0
32768,12.49,14.10,12.89,343.19,341.30,-0.55,475014540,475014540,0
34816,12.40,13.98,12.74,329.68,328.18,-0.45,503203212,503203212,0
36864,12.35,13.92,12.71,327.84,326.05,-0.55,531391884,531391884,0
38912,12.31,13.87,12.67,325.14,323.79,-0.42,559580556,559580556,0
40960,12.28,13.84,12.70,322.60,321.27,-0.41,587769228,587769228,0
43008,12.24,13.79,12.66,319.95,318.95,-0.31,615957900,615957900,0
45056,12.17,13.70,12.57,317.55,315.93,-0.51,644146572,644146572,0
47104,12.12,13.65,12.62,315.21,313.65,-0.49,672335244,672335244,0
49152,12.10,13.62,12.56,312.39,311.24,-0.37,700523916,700523916,0
51200,12.03,13.52,12.39,307.59,306.80,-0.26,728712588,728712588,0
53248,11.95,13.43,12.38,305.12,304.50,-0.20,756901260,756901260,0
55296,11.90,13.37,12.35,302.76,302.07,-0.23,785089932,785089932,0
57344,11.84,13.30,12.33,300.89,300.22,-0.22,813278604,813278604,0
59392,11.80,13.24,12.20,298.72,298.03,-0.23,841467276,841467276,0
61440,11.72,13.14,12.12,296.77,295.97,-0.27,869655948,869655948,0
63488,11.67,13.08,12.08,294.50,293.81,-0.23,897844620,897844620,0
65536,11.63,13.03,12.04,292.39,291.67,-0.25,926033292,926033292,0
67584,11.57,12.95,11.93,288.15,287.54,-0.21,954221964,954221964,0
69632,11.52,12.89,11.89,286.11,285.59,-0.18,982410636,982410636,0
71680,11.48,12.84,11.85,284.15,283.72,-0.15,1010599308,1010599308,0
73728,11.44,12.79,11.80,282.31,281.69,-0.22,1038787980,1038787980,0
75776,11.42,12.76,11.73,280.17,279.80,-0.13,1066976652,1066976652,0
77824,11.38,12.71,11.69,278.63,278.05,-0.21,1095165324,1095165324,0
79872,11.32,12.64,11.66,276.62,276.25,-0.13,1123353996,1123353996,0
81920,11.28,12.59,11.61,275.06,274.53,-0.19,1151542668,1151542668,0
83968,11.24,12.54,11.57,271.11,270.45,-0.24,1179731340,1179731340,0
86016,11.19,12.48,11.53,269.31,268.80,-0.19,1207920012,1207920012,0
88064,11.14,12.42,11.49,267.37,267.03,-0.13,1236108684,1236108684,0
90112,11.09,12.36,11.45,265.82,265.40,-0.16,1264297356,1264297356,0
92160,11.06,12.32,11.39,264.05,263.70,-0.13,1292486028,1292486028,0
94208,11.01,12.26,11.35,262.43,262.36,-0.03,1320674700,1320674700,0
96256,10.96,12.19,11.22,260.91,260.56,-0.13,1348863372,1348863372,0
98304,10.91,12.12,11.09,259.41,258.96,-0.17,1377052044,1377052044,0
100000,10.90,12.11,11.10,249.47,249.13,-0.14,1400385548,1400385548,0
