ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,388.11,128,18.98,62.407,127,19.14,52184460
4096,2048,375.19,128,16.42,55.256,127,16.50,80373132
6144,2048,370.24,128,16.34,62.554,127,16.43,108561804
8192,2048,366.64,128,16.11,62.763,127,16.20,136750476
10240,2048,360.60,128,16.03,64.249,127,16.13,164939148
12288,2048,357.47,128,15.97,63.813,127,16.06,193127820
14336,2048,354.17,128,15.95,64.131,127,16.04,221316492
16384,2048,352.77,128,16.03,63.618,127,16.12,249505164
18432,2048,349.08,128,16.00,64.860,127,16.09,277693836
20480,2048,346.26,128,15.95,64.119,127,16.04,305882508
22528,2048,343.29,128,15.91,64.385,127,16.01,334071180
24576,2048,340.30,128,15.87,64.364,127,15.96,362259852
26624,2048,336.83,128,15.82,63.603,127,15.91,390448524
28672,2048,334.43,128,15.78,65.577,127,15.87,418637196
30720,2048,331.93,128,15.75,65.678,127,15.84,446825868
32768,2048,329.05,128,15.28,65.740,127,15.36,475014540
34816,2048,317.22,128,15.21,67.436,127,15.29,503203212
36864,2048,315.50,128,15.17,66.114,127,15.25,531391884
38912,2048,312.68,128,15.13,67.971,127,15.21,559580556
40960,2048,310.73,128,15.10,67.339,127,15.18,587769228
43008,2048,308.18,128,15.05,67.434,127,15.13,615957900
45056,2048,306.47,128,15.01,67.714,127,15.09,644146572
47104,2048,304.16,128,14.99,67.773,127,15.07,672335244
49152,2048,301.84,128,14.94,67.912,127,15.02,700523916
51200,2048,297.38,128,14.91,68.051,127,14.99,728712588
53248,2048,295.33,128,14.87,68.211,127,14.95,756901260
55296,2048,292.99,128,14.83,68.619,127,14.90,785089932
57344,2048,291.19,128,14.80,68.180,127,14.87,813278604
59392,2048,289.20,128,14.74,70.359,127,14.82,841467276
61440,2048,287.05,128,14.71,69.443,127,14.78,869655948
63488,2048,285.17,128,14.67,69.351,127,14.75,897844620
65536,2048,283.43,128,14.63,68.674,127,14.71,926033292
67584,2048,279.33,128,14.60,69.560,127,14.67,954221964
69632,2048,277.67,128,14.56,69.867,127,14.63,982410636
71680,2048,275.68,128,14.52,69.685,127,14.60,1010599308
73728,2048,274.06,128,14.49,70.368,127,14.56,1038787980
75776,2048,272.13,128,14.45,70.548,127,14.52,1066976652
77824,2048,270.48,128,14.42,70.436,127,14.49,1095165324
79872,2048,268.77,128,14.38,70.603,127,14.46,1123353996
81920,2048,267.18,128,14.35,69.820,127,14.42,1151542668
83968,2048,263.44,128,14.29,70.349,127,14.37,1179731340
86016,2048,261.82,128,14.26,70.308,127,14.33,1207920012
88064,2048,260.01,128,14.23,71.077,127,14.30,1236108684
90112,2048,258.59,128,14.19,71.626,127,14.26,1264297356
92160,2048,257.14,128,14.17,72.924,127,14.24,1292486028
94208,2048,255.43,128,14.13,71.144,127,14.20,1320674700
96256,2048,253.93,128,14.09,71.780,127,14.16,1348863372
98304,2048,252.75,128,14.07,72.314,127,14.14,1377052044
100000,1696,245.63,128,14.03,73.331,127,14.10,0
