ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,384.41,128,17.81,73.881,127,17.97,52184460
4096,2048,374.05,128,15.57,59.461,127,15.65,80373132
6144,2048,369.18,128,15.50,64.997,127,15.59,108561804
8192,2048,365.45,128,15.30,66.207,127,15.38,136750476
10240,2048,360.37,128,15.23,67.124,127,15.32,164939148
12288,2048,356.90,128,15.20,67.207,127,15.28,193127820
14336,2048,354.51,128,15.14,68.191,127,15.22,221316492
16384,2048,352.03,128,15.24,67.214,127,15.32,249505164
18432,2048,349.20,128,15.18,67.118,127,15.26,277693836
20480,2048,346.42,128,15.15,68.293,127,15.23,305882508
22528,2048,343.34,128,15.12,68.558,127,15.20,334071180
24576,2048,340.48,128,15.08,67.673,127,15.16,362259852
26624,2048,337.90,128,15.04,68.361,127,15.12,390448524
28672,2048,335.26,128,15.01,67.238,127,15.09,418637196
30720,2048,332.90,128,14.97,67.131,127,15.05,446825868
32768,2048,330.19,128,14.55,68.041,127,14.62,475014540
34816,2048,317.91,128,14.48,71.130,127,14.56,503203212
36864,2048,315.54,128,14.45,70.543,127,14.52,531391884
38912,2048,313.61,128,14.41,70.663,127,14.49,559580556
40960,2048,311.18,128,14.37,72.166,127,14.45,587769228
43008,2048,308.67,128,14.34,70.599,127,14.41,615957900
45056,2048,306.80,128,14.31,70.746,127,14.39,644146572
47104,2048,304.42,128,14.28,72.297,127,14.35,672335244
49152,2048,302.21,128,14.24,71.676,127,14.32,700523916
51200,2048,298.00,128,14.21,71.352,127,14.28,728712588
53248,2048,295.78,128,14.17,71.777,127,14.25,756901260
55296,2048,293.49,128,14.14,71.763,127,14.21,785089932
57344,2048,291.61,128,14.11,71.845,127,14.18,813278604
59392,2048,289.70,128,14.06,73.003,127,14.13,841467276
61440,2048,287.76,128,14.02,72.956,127,14.09,869655948
63488,2048,285.87,128,13.99,71.709,127,14.06,897844620
65536,2048,283.82,128,13.95,73.637,127,14.02,926033292
67584,2048,279.84,128,13.92,73.962,127,14.00,954221964
69632,2048,277.92,128,13.89,72.925,127,13.96,982410636
71680,2048,275.95,128,13.86,73.205,127,13.93,1010599308
73728,2048,274.38,128,13.83,73.443,127,13.90,1038787980
75776,2048,272.71,128,13.80,73.558,127,13.87,1066976652
77824,2048,270.75,128,13.77,73.038,127,13.83,1095165324
79872,2048,268.90,128,13.73,73.501,127,13.80,1123353996
81920,2048,267.53,128,13.70,73.810,127,13.77,1151542668
83968,2048,264.14,128,13.65,73.463,127,13.71,1179731340
86016,2048,262.27,128,13.63,75.002,127,13.69,1207920012
88064,2048,260.62,128,13.60,74.347,127,13.66,1236108684
90112,2048,259.13,128,13.56,74.881,127,13.63,1264297356
92160,2048,257.59,128,13.54,74.912,127,13.60,1292486028
94208,2048,255.75,128,13.50,75.130,127,13.57,1320674700
96256,2048,254.39,128,13.47,74.330,127,13.53,1348863372
98304,2048,252.93,128,13.44,75.992,127,13.50,1377052044
100000,1696,246.45,128,13.40,76.218,127,13.47,0
