ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,34.49,128,20.43,57.850,127,20.61,52184460
4096,2048,368.54,128,17.48,50.429,127,17.57,80373132
6144,2048,378.24,128,17.31,59.308,127,17.41,108561804
8192,2048,372.20,128,17.04,59.572,127,17.15,136750476
10240,2048,375.60,128,16.99,60.190,127,17.09,164939148
12288,2048,374.50,128,16.86,59.347,127,16.95,193127820
14336,2048,374.47,128,16.88,60.286,127,16.98,221316492
16384,2048,373.09,128,16.99,60.597,127,17.10,249505164
18432,2048,368.26,128,16.93,59.928,127,17.03,277693836
20480,2048,374.09,128,16.87,60.459,127,16.97,305882508
22528,2048,372.41,128,16.71,62.523,127,16.81,334071180
24576,2048,371.97,128,16.77,61.003,127,16.87,362259852
26624,2048,369.77,128,16.70,59.100,127,16.79,390448524
28672,2048,368.57,128,16.67,63.424,127,16.77,418637196
30720,2048,370.18,128,16.62,59.654,127,16.72,446825868
32768,2048,368.83,128,15.89,67.026,127,15.98,475014540
34816,2048,367.13,128,15.99,63.326,127,16.08,503203212
36864,2048,365.96,128,15.86,65.025,127,15.95,531391884
38912,2048,367.08,128,15.88,65.111,127,15.97,559580556
40960,2048,366.25,128,15.85,63.368,127,15.94,587769228
43008,2048,359.71,128,15.80,64.564,127,15.89,615957900
45056,2048,364.50,128,15.75,66.880,127,15.85,644146572
47104,2048,365.34,128,15.61,65.313,127,15.70,672335244
49152,2048,363.49,128,15.65,68.093,127,15.74,700523916
51200,2048,358.16,128,15.56,65.453,127,15.65,728712588
53248,2048,357.81,128,15.56,65.327,127,15.65,756901260
55296,2048,356.96,128,15.55,66.283,127,15.64,785089932
57344,2048,352.62,128,15.50,64.723,127,15.58,813278604
59392,2048,358.02,128,15.42,65.791,127,15.50,841467276
61440,2048,357.82,128,15.31,65.998,127,15.39,869655948
63488,2048,357.14,128,15.35,65.369,127,15.43,897844620
65536,2048,358.58,128,15.26,64.892,127,15.34,0
