ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,781.45,128,20.79,64.242,127,20.99,52184460
4096,2048,840.03,128,17.34,49.759,127,17.42,80373132
6144,2048,832.29,128,17.14,59.854,127,17.25,108561804
8192,2048,828.01,128,16.95,60.057,127,17.05,136750476
10240,2048,815.97,128,16.86,60.941,127,16.96,164939148
12288,2048,812.20,128,16.77,61.427,127,16.87,193127820
14336,2048,812.93,128,16.71,60.405,127,16.81,221316492
16384,2048,814.98,128,16.79,60.731,127,16.89,249505164
18432,2048,812.13,128,16.75,60.433,127,16.85,277693836
20480,2048,811.00,128,16.71,60.436,127,16.81,305882508
22528,2048,810.45,128,16.68,59.820,127,16.77,334071180
24576,2048,807.36,128,16.62,61.518,127,16.72,362259852
26624,2048,806.58,128,16.61,61.875,127,16.71,390448524
28672,2048,804.15,128,16.55,62.490,127,16.65,418637196
30720,2048,803.68,128,16.50,61.198,127,16.60,446825868
32768,2048,804.14,128,16.03,63.144,127,16.13,475014540
34816,2048,795.56,128,15.93,63.443,127,16.02,503203212
36864,2048,795.90,128,15.88,65.580,127,15.97,531391884
38912,2048,794.05,128,15.84,62.850,127,15.93,559580556
40960,2048,792.47,128,15.80,64.861,127,15.89,587769228
43008,2048,790.43,128,15.73,65.371,127,15.82,615957900
45056,2048,787.21,128,15.68,66.438,127,15.77,644146572
47104,2048,785.14,128,15.67,65.212,127,15.76,672335244
49152,2048,784.43,128,15.64,65.189,127,15.73,700523916
51200,2048,783.49,128,15.57,66.512,127,15.66,728712588
53248,2048,784.05,128,15.51,66.882,127,15.60,756901260
55296,2048,779.18,128,15.48,67.074,127,15.57,785089932
57344,2048,777.98,128,15.45,65.161,127,15.53,813278604
59392,2048,776.26,128,15.36,66.241,127,15.44,841467276
61440,2048,776.21,128,15.34,66.274,127,15.42,869655948
63488,2048,773.76,128,15.29,65.854,127,15.38,897844620
65536,2048,771.95,128,15.24,67.187,127,15.32,0
