ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,781.35,128,18.98,70.461,127,19.15,52184460
4096,2048,834.96,128,16.01,54.829,127,16.08,80373132
6144,2048,828.12,128,15.88,65.485,127,15.97,108561804
8192,2048,824.47,128,15.74,64.075,127,15.82,136750476
10240,2048,812.48,128,15.61,66.401,127,15.70,164939148
12288,2048,809.59,128,15.55,65.298,127,15.64,193127820
14336,2048,809.91,128,15.48,64.154,127,15.57,221316492
16384,2048,814.22,128,15.59,64.617,127,15.67,249505164
18432,2048,812.01,128,15.53,64.341,127,15.62,277693836
20480,2048,809.59,128,15.49,65.087,127,15.58,305882508
22528,2048,806.93,128,15.44,67.544,127,15.53,334071180
24576,2048,807.73,128,15.40,66.487,127,15.49,362259852
26624,2048,805.34,128,15.36,67.017,127,15.45,390448524
28672,2048,802.14,128,15.33,67.459,127,15.42,418637196
30720,2048,802.06,128,15.27,66.884,127,15.35,446825868
32768,2048,800.66,128,14.89,66.817,127,14.96,475014540
34816,2048,792.81,128,14.79,68.959,127,14.87,503203212
36864,2048,798.63,128,14.78,68.893,127,14.85,531391884
38912,2048,795.39,128,14.72,68.831,127,14.80,559580556
40960,2048,793.15,128,14.68,70.111,127,14.76,587769228
43008,2048,789.42,128,14.65,69.430,127,14.73,615957900
45056,2048,786.60,128,14.62,70.988,127,14.70,644146572
47104,2048,783.54,128,14.58,69.800,127,14.65,672335244
49152,2048,783.92,128,14.55,69.887,127,14.62,700523916
51200,2048,783.14,128,14.51,70.409,127,14.58,728712588
53248,2048,783.34,128,14.45,71.120,127,14.53,756901260
55296,2048,778.81,128,14.42,70.556,127,14.50,785089932
57344,2048,779.45,128,14.38,71.696,127,14.46,813278604
59392,2048,775.01,128,14.35,69.897,127,14.42,841467276
61440,2048,774.58,128,14.32,70.669,127,14.39,869655948
63488,2048,775.19,128,14.26,70.669,127,14.33,897844620
65536,2048,773.21,128,14.20,72.573,127,14.27,0
