ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,821.02,128,22.08,62.247,127,22.16,52184460
4096,2048,890.93,128,18.37,47.757,127,18.36,80373132
6144,2048,880.59,128,18.22,54.871,127,18.23,108561804
8192,2048,875.33,128,18.00,56.069,127,18.01,136750476
10240,2048,867.08,128,17.89,56.655,127,17.90,164939148
12288,2048,864.85,128,17.80,58.586,127,17.81,193127820
14336,2048,862.77,128,17.72,58.646,127,17.74,221316492
16384,2048,866.29,128,17.84,57.645,127,17.85,249505164
18432,2048,864.41,128,17.79,58.001,127,17.80,277693836
20480,2048,861.49,128,17.73,57.110,127,17.74,305882508
22528,2048,860.10,128,17.68,58.192,127,17.69,334071180
24576,2048,857.31,128,17.62,59.311,127,17.64,362259852
26624,2048,856.05,128,17.57,58.585,127,17.58,390448524
28672,2048,852.42,128,17.52,59.631,127,17.53,418637196
30720,2048,847.89,128,17.47,60.020,127,17.48,446825868
32768,2048,850.14,128,16.96,60.054,127,16.97,475014540
34816,2048,841.23,128,16.85,61.190,127,16.86,503203212
36864,2048,843.30,128,16.81,61.001,127,16.82,531391884
38912,2048,842.22,128,16.76,61.203,127,16.77,559580556
40960,2048,838.19,128,16.72,61.417,127,16.74,587769228
43008,2048,838.45,128,16.68,60.692,127,16.69,615957900
45056,2048,833.30,128,16.63,60.884,127,16.64,644146572
47104,2048,830.60,128,16.58,62.601,127,16.59,672335244
49152,2048,830.43,128,16.53,62.142,127,16.55,700523916
51200,2048,832.61,128,16.48,62.907,127,16.49,728712588
53248,2048,829.25,128,16.43,61.725,127,16.44,756901260
55296,2048,826.02,128,16.39,62.218,127,16.40,785089932
57344,2048,825.79,128,16.34,62.014,127,16.35,813278604
59392,2048,823.18,128,16.29,62.152,127,16.30,841467276
61440,2048,821.94,128,16.23,63.771,127,16.25,869655948
63488,2048,821.01,128,16.19,62.729,127,16.20,897844620
65536,2048,819.97,128,16.12,65.149,127,16.14,0
