ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,839.92,128,21.95,62.546,127,22.02,52184460
4096,2048,904.84,128,18.25,47.836,127,18.24,80373132
6144,2048,897.00,128,18.12,56.636,127,18.14,108561804
8192,2048,890.33,128,17.92,56.638,127,17.93,136750476
10240,2048,882.36,128,17.80,56.986,127,17.81,164939148
12288,2048,877.28,128,17.72,57.888,127,17.74,193127820
14336,2048,877.13,128,17.66,58.163,127,17.67,221316492
16384,2048,883.43,128,17.79,58.131,127,17.80,249505164
18432,2048,879.87,128,17.74,57.720,127,17.75,277693836
20480,2048,880.10,128,17.68,57.892,127,17.69,305882508
22528,2048,875.99,128,17.63,57.952,127,17.64,334071180
24576,2048,874.27,128,17.57,57.494,127,17.58,362259852
26624,2048,872.17,128,17.53,59.986,127,17.54,390448524
28672,2048,869.75,128,17.47,58.558,127,17.48,418637196
30720,2048,865.73,128,17.41,58.697,127,17.42,446825868
32768,2048,866.24,128,16.91,58.706,127,16.92,475014540
34816,2048,858.83,128,16.83,60.881,127,16.84,503203212
36864,2048,859.46,128,16.78,61.969,127,16.79,531391884
38912,2048,857.65,128,16.73,61.243,127,16.74,559580556
40960,2048,855.53,128,16.69,61.535,127,16.70,587769228
43008,2048,851.46,128,16.65,61.613,127,16.66,615957900
45056,2048,849.31,128,16.60,61.423,127,16.61,644146572
47104,2048,846.56,128,16.55,62.543,127,16.57,672335244
49152,2048,845.14,128,16.49,61.498,127,16.49,700523916
51200,2048,844.47,128,16.45,61.922,127,16.46,728712588
53248,2048,842.33,128,16.41,62.911,127,16.42,756901260
55296,2048,839.50,128,16.36,62.991,127,16.37,785089932
57344,2048,839.89,128,16.32,62.654,127,16.33,813278604
59392,2048,835.61,128,16.25,63.807,127,16.26,841467276
61440,2048,837.64,128,16.21,62.873,127,16.22,869655948
63488,2048,833.97,128,16.17,62.959,127,16.18,897844620
65536,2048,834.42,128,16.10,64.286,127,16.11,0
