ctx_tokens,baseline_prefill_tps,candidate_prefill_tps,prefill_delta_percent,baseline_gen_tps,candidate_gen_tps,gen_delta_percent,kvcache_match
2048,821.02,839.92,2.302015,22.08,21.95,-0.588768,yes
4096,890.93,904.84,1.561290,18.37,18.25,-0.653239,yes
6144,880.59,897.00,1.863523,18.22,18.12,-0.548847,yes
8192,875.33,890.33,1.713639,18.00,17.92,-0.444444,yes
10240,867.08,882.36,1.762236,17.89,17.80,-0.503074,yes
12288,864.85,877.28,1.437243,17.80,17.72,-0.449438,yes
14336,862.77,877.13,1.664407,17.72,17.66,-0.338600,yes
16384,866.29,883.43,1.978552,17.84,17.79,-0.280269,yes
18432,864.41,879.87,1.788503,17.79,17.74,-0.281057,yes
20480,861.49,880.10,2.160211,17.73,17.68,-0.282008,yes
22528,860.10,875.99,1.847460,17.68,17.63,-0.282805,yes
24576,857.31,874.27,1.978281,17.62,17.57,-0.283768,yes
26624,856.05,872.17,1.883068,17.57,17.53,-0.227661,yes
28672,852.42,869.75,2.033035,17.52,17.47,-0.285388,yes
30720,847.89,865.73,2.104047,17.47,17.41,-0.343446,yes
32768,850.14,866.24,1.893806,16.96,16.91,-0.294811,yes
34816,841.23,858.83,2.092175,16.85,16.83,-0.118694,yes
36864,843.30,859.46,1.916281,16.81,16.78,-0.178465,yes
38912,842.22,857.65,1.832063,16.76,16.73,-0.178998,yes
40960,838.19,855.53,2.068743,16.72,16.69,-0.179426,yes
43008,838.45,851.46,1.551673,16.68,16.65,-0.179856,yes
45056,833.30,849.31,1.921277,16.63,16.60,-0.180397,yes
47104,830.60,846.56,1.921503,16.58,16.55,-0.180941,yes
49152,830.43,845.14,1.771371,16.53,16.49,-0.241984,yes
51200,832.61,844.47,1.424436,16.48,16.45,-0.182039,yes
53248,829.25,842.33,1.577329,16.43,16.41,-0.121729,yes
55296,826.02,839.50,1.631922,16.39,16.36,-0.183038,yes
57344,825.79,839.89,1.707456,16.34,16.32,-0.122399,yes
59392,823.18,835.61,1.509998,16.29,16.25,-0.245549,yes
61440,821.94,837.64,1.910115,16.23,16.21,-0.123229,yes
63488,821.01,833.97,1.578544,16.19,16.17,-0.123533,yes
65536,819.97,834.42,1.762260,16.12,16.10,-0.124069,yes
