t_s,rss_kib,cuda_used_mib,mem_total_bytes,mem_used_bytes,mem_free_bytes,mem_shared_bytes,mem_buff_cache_bytes,mem_available_bytes
0.00034236907958984375,80,,130596646912,4057198592,123657764864,10485760,3969069056,126539448320
0.525763750076294,540392,,130596646912,6611546112,121103396864,325271552,4283899904,123985100800
1.0280430316925049,540396,3766,130596646912,8509984768,119204958208,325271552,4283899904,122086662144
1.5488686561584473,540396,,130596646912,10412904448,117301993472,325271552,4283924480,120183742464
2.0503714084625244,540404,9142,130596646912,13107990528,114606907392,325271552,4283928576,117488656384
2.604792594909668,540408,,130596646912,16145551360,111569338368,325271552,4283928576,114451095552
3.1066067218780518,540416,12726,130596646912,18044370944,109670518784,325271552,4283928576,112552275968
3.6281402111053467,540420,,130596646912,19990740992,107724148736,325271552,4283928576,110605905920
4.130123853683472,540428,18102,130596646912,23747706880,103967182848,325271552,4283928576,106848940032
4.653070449829102,540432,,130596646912,25656233984,102058655744,325271552,4283928576,104940412928
5.15491795539856,540436,21686,130596646912,27559383040,100155506688,325271552,4283928576,103037263872
5.677107810974121,540444,,130596646912,31369854976,96345034752,325271552,4283928576,99226791936
6.179236888885498,540448,27062,130596646912,33277906944,94436982784,325271552,4283928576,97318739968
6.701427936553955,540452,,130596646912,35181424640,92533465088,325271552,4283932672,95415222272
7.203038454055786,540460,32438,130596646912,37759610880,89955278848,325271552,4283932672,92837036032
7.7562549114227295,540464,,130596646912,40868962304,86845927424,325271552,4283932672,89727684608
8.258075952529907,540468,36022,130596646912,42776887296,84938002432,325271552,4283936768,87819759616
8.781481742858887,540476,,130596646912,44965392384,82749497344,325271552,4283936768,85631254528
9.284318923950195,540484,41398,130596646912,48489054208,79225835520,325271552,4283936768,82107592704
9.807008266448975,540488,,130596646912,50400985088,77313896448,325271552,4283936768,80195661824
10.308896780014038,540492,44982,130596646912,52306485248,75408396288,325271552,4283936768,78290161664
10.831052303314209,540500,,130596646912,56131780608,71583100928,325271552,4283936768,74464866304
11.333264827728271,540504,50358,130596646912,58031812608,69683068928,325271552,4283936768,72564834304
11.856560468673706,540508,,130596646912,59947716608,67767164928,325271552,4283936768,70648930304
12.357995510101318,540516,55734,130596646912,62419607552,65295245312,325271552,4283961344,68177039360
12.915401697158813,540520,,130596646912,65662410752,62052442112,325271552,4283961344,64934236160
13.417226076126099,540528,59318,130596646912,67563307008,60151545856,325271552,4283961344,63033339904
13.939673662185669,540532,,130596646912,70204215296,57510637568,325271552,4283961344,60392431616
14.442394733428955,540540,64694,130596646912,73281769472,54433083392,325271552,4283961344,57314877440
14.966368913650513,540544,,130596646912,75191758848,52523094016,325271552,4283969536,55404888064
15.468047380447388,540548,68278,130596646912,77097394176,50617458688,325271552,4283969536,53499252736
15.99042296409607,540556,,130596646912,80903098368,46811754496,325271552,4283969536,49693548544
16.49333167076111,540560,73654,130596646912,82809102336,44905750528,325271552,4283969536,47787544576
17.01599884033203,540564,,130596646912,84729159680,42985693184,325271552,4283969536,45867487232
17.51771330833435,540580,79030,130596646912,88390721536,39324131328,325271552,4283969536,42205925376
18.04714822769165,540584,,130596646912,92356165632,35364311040,325271552,4278337536,38240481280
18.549859523773193,540592,86198,130596646912,96021749760,31698726912,325271552,4278337536,34574897152
19.080618143081665,540600,,130596646912,99957936128,27762536448,325271552,4278337536,30638710784
19.583540439605713,582936,89824,130596646912,100038909952,27681501184,325271552,4278398976,30557736960
20.10576868057251,685168,,130596646912,100144484352,27575926784,325271552,4278398976,30452162560
20.60846996307373,691368,89824,130596646912,100142538752,27577909248,325271552,4278386688,30454108160
21.131072759628296,699652,,130596646912,100141862912,27578585088,325271552,4278394880,30454784000
21.63318419456482,697784,89824,130596646912,100140453888,27579994112,325271552,4278394880,30456193024
22.15538477897644,736308,,130596646912,104000819200,23731970048,325271552,4265828352,26595827712
22.6583194732666,876612,98322,130596646912,109115215872,18611625984,325271552,4271853568,21481431040
23.19015383720398,877216,,130596646912,116080730112,11646164992,325271552,4271767552,14515916800
23.692732334136963,893864,105680,130596646912,117172580352,10554257408,325271552,4271861760,13424066560
24.231249809265137,893864,,130596646912,117174394880,10552442880,325271552,4271861760,13422252032
24.734682083129883,893864,105680,130596646912,117173522432,10553311232,325271552,4271869952,13423124480
25.26455044746399,893864,,130596646912,117171490816,10555342848,325271552,4271869952,13425156096
25.767690181732178,893864,105680,130596646912,117170233344,10556600320,325271552,4271869952,13426413568
26.299500703811646,893864,,130596646912,117168979968,10557853696,325271552,4271878144,13427666944
26.80280637741089,893864,105680,130596646912,117167026176,10559807488,325271552,4271878144,13429620736
27.33524799346924,893864,,130596646912,117170651136,10556182528,325271552,4271878144,13425995776
27.838900566101074,893864,105680,130596646912,117168214016,10558619648,325271552,4271882240,13428432896
28.369551420211792,893868,,130596646912,117184585728,10542247936,325271552,4271882240,13412061184
28.872032642364502,893868,105680,130596646912,117180321792,10546511872,325271552,4271882240,13416325120
29.40674662590027,893868,,130596646912,117161226240,10565607424,325271552,4271882240,13435420672
29.909977197647095,893868,105680,130596646912,117159776256,10567057408,325271552,4271882240,13436870656
30.44084095954895,893952,,130596646912,117155782656,10571051008,325271552,4271882240,13440864256
30.943941831588745,893952,105680,130596646912,117153894400,10572926976,325271552,4271886336,13442752512
31.475719451904297,893952,,130596646912,117170655232,10556166144,325271552,4271894528,13425991680
31.978763341903687,893952,105680,130596646912,117169344512,10557476864,325271552,4271894528,13427302400
32.508543729782104,893952,,130596646912,117169000448,10557796352,325271552,4271894528,13427646464
33.0123085975647,893956,105680,130596646912,117167566848,10559229952,325271552,4271894528,13429080064
33.54393196105957,894152,,130596646912,117163884544,10562912256,325271552,4271894528,13432762368
34.04786515235901,894152,105680,130596646912,117163491328,10563305472,325271552,4271894528,13433155584
34.578678369522095,894152,,130596646912,117179748352,10547048448,325271552,4271898624,13416898560
35.082292318344116,894152,105680,130596646912,117178314752,10548482048,325271552,4271898624,13418332160
35.61970019340515,894152,,130596646912,117174116352,10552680448,325271552,4271898624,13422530560
36.12293863296509,894152,105680,130596646912,117174136832,10552659968,325271552,4271906816,13422510080
36.65145945549011,894152,,130596646912,117189632000,10537164800,325271552,4271906816,13407014912
37.154892683029175,894152,105680,130596646912,117188632576,10538164224,325271552,4271906816,13408014336
37.68748617172241,894156,,130596646912,117164384256,10562412544,325271552,4271910912,13432262656
38.19087743759155,894156,105680,130596646912,117164384256,10562412544,325271552,4271910912,13432262656
38.7233452796936,894276,,130596646912,117161172992,10565623808,325271552,4271915008,13435473920
39.22685408592224,894276,105680,130596646912,117160931328,10565865472,325271552,4271919104,13435715584
39.76021981239319,871908,,130596646912,109843705856,17883082752,325271552,4271919104,20752941056
40.263124227523804,871908,45066,130596646912,54562623488,73164165120,325271552,4271919104,76034023424
40.79095482826233,648048,,130596646912,4607823872,123118964736,54751232,4001423360,125988823040
41.293254375457764,,,130596646912,3909132288,123817652224,10620928,3957293056,126687514624
