t_s,rss_kib,cuda_used_mib,mem_total_bytes,mem_used_bytes,mem_free_bytes,mem_shared_bytes,mem_buff_cache_bytes,mem_available_bytes
0.00027871131896972656,8,,130596646912,3893047296,123809009664,10485760,3982217216,126703599616
0.5211648941040039,540392,,130596646912,6474846208,121227182080,325271552,4297019392,124121800704
1.0232157707214355,540392,3766,130596646912,8382984192,119319044096,325271552,4297019392,122213662720
1.545762300491333,540396,,130596646912,10299699200,117402324992,325271552,4297027584,120296947712
2.0476882457733154,540404,9142,130596646912,14109786112,113592238080,325271552,4297027584,116486860800
2.5709290504455566,540408,,130596646912,16027328512,111674695680,325271552,4297027584,114569318400
3.072856903076172,540412,12726,130596646912,17932701696,109769322496,325271552,4297027584,112663945216
3.596703290939331,540420,,130596646912,21739982848,105962041344,325271552,4297027584,108856664064
4.099077463150024,540424,18102,130596646912,23648268288,104053755904,325271552,4297035776,106948378624
4.621470212936401,540428,,130596646912,25548496896,102153527296,325271552,4297035776,105048150016
5.123745679855347,540436,23478,130596646912,29131825152,98570199040,325271552,4297035776,101464821760
5.654751300811768,540444,,130596646912,31269855232,96432168960,325271552,4297035776,99326791680
6.15669846534729,540448,27062,130596646912,33177391104,94524633088,325271552,4297035776,97419255808
6.679057359695435,540452,,130596646912,36615069696,91086954496,325271552,4297035776,93981577216
7.182120084762573,540456,32438,130596646912,38907179008,88794787840,325271552,4297121792,91689467904
7.7038819789886475,540460,,130596646912,40829153280,86872813568,325271552,4297121792,89767493632
8.2062349319458,540464,37814,130596646912,42735607808,84966416384,325271552,4297035776,87861039104
8.77113676071167,540472,,130596646912,46526906368,81175117824,325271552,4297035776,84069740544
9.273777484893799,540480,41398,130596646912,48430829568,79271194624,325271552,4297035776,82165817344
9.79601001739502,540488,,130596646912,51495833600,76206190592,325271552,4297035776,79100813312
10.29777216911316,540492,46774,130596646912,54152941568,73549082624,325271552,4297039872,76443705344
10.818812370300293,540496,,130596646912,56084504576,71617519616,325271552,4297039872,74512142336
