t_s,rss_kib,cuda_used_mib,mem_total_bytes,mem_used_bytes,mem_free_bytes,mem_shared_bytes,mem_buff_cache_bytes,mem_available_bytes
0.00038623809814453125,540,,130596646912,3959205888,123741069312,10485760,3984084992,126637441024
0.520535945892334,540408,,130596646912,6565756928,121134485504,325271552,4298911744,124030889984
1.0233075618743896,540408,3766,130596646912,8469450752,119230791680,325271552,4298911744,122127196160
1.5449483394622803,540412,,130596646912,10357927936,117342314496,325271552,4298911744,120238718976
2.04656720161438,540420,9142,130596646912,14167351296,113532891136,325271552,4298911744,116429295616
2.568624496459961,540424,,130596646912,16078856192,111621308416,325275648,4298928128,114517790720
3.0700125694274902,540428,12726,130596646912,17989435392,109710704640,325271552,4298960896,112607211520
3.5919883251190186,540436,,130596646912,21809672192,105890459648,325271552,4298969088,108786974720
4.094285726547241,540440,18102,130596646912,23717236736,103982895104,325271552,4298969088,106879410176
4.618664741516113,540444,,130596646912,25637543936,102062587904,325271552,4298969088,104959102976
5.120565891265869,540452,23478,130596646912,29437988864,98262142976,325271552,4298969088,101158658048
5.648334741592407,540460,,130596646912,31350075392,96350056448,325271552,4298969088,99246571520
6.150254011154175,540464,27062,130596646912,33256927232,94443204608,325271552,4298969088,97339719680
6.673290014266968,540468,,130596646912,36436094976,91264036864,325271552,4298969088,94160551936
7.175185441970825,540472,32438,130596646912,38960939008,88739192832,325271552,4298969088,91635707904
7.697788953781128,540480,,130596646912,40869113856,86831017984,325271552,4298969088,89727533056
8.199324369430542,540480,37814,130596646912,42775904256,84924227584,325271552,4298969088,87820742656
8.767316818237305,540488,,130596646912,46589190144,81110941696,325271552,4298969088,84007456768
9.26973295211792,540496,41398,130596646912,48492367872,79207763968,325271552,4298969088,82104279040
9.792039632797241,540504,,130596646912,50896384000,76803743744,325271552,4298981376,79700262912
10.294964075088501,540508,46774,130596646912,54209077248,73491050496,325271552,4298981376,76387569664
10.819251298904419,540512,,130596646912,56103809024,71596318720,325271552,4298981376,74492837888
11.3218834400177,540516,50358,130596646912,58007076864,69693046784,325271552,4298989568,72589570048
11.84380030632019,540524,,130596646912,61815001088,65885122560,325271552,4298997760,68781645824
12.345840215682983,540528,55734,130596646912,63720599552,63979524096,325271552,4298997760,66876047360
12.870195865631104,540532,,130596646912,65617752064,62082375680,325271552,4298989568,64978894848
13.372262716293335,540544,61110,130596646912,69431635968,58268491776,325271552,4298993664,61165010944
13.894492626190186,540548,,130596646912,71346941952,56353120256,325271552,4299141120,59249704960
14.396028995513916,540552,64694,130596646912,73246851072,54453211136,325271552,4299145216,57349795840
14.917834997177124,540556,,130596646912,76786364416,50914213888,325271552,4298993664,53810282496
15.42040467262268,540564,70070,130596646912,78969024512,48731037696,325271552,4299149312,51627622400
15.9428231716156,540568,,130596646912,80859844608,46840270848,325271552,4299014144,49736802304
16.444514989852905,540572,73654,130596646912,82762096640,44938018816,325271552,4299014144,47834550272
16.968186616897583,540580,,130596646912,86587174912,41112940544,325271552,4299030528,44009472000
17.470394611358643,540592,79030,130596646912,88495996928,39209193472,325271552,4293922816,42100649984
17.990191221237183,540596,,130596646912,92308549632,35397160960,325271552,4293398528,38288097280
18.49180817604065,540608,86198,130596646912,96120016896,31585693696,325271552,4293398528,34476630016
19.01363754272461,540616,,130596646912,99949588480,27756118016,325271552,4293406720,30647058432
19.516855716705322,557900,94836,130596646912,105024110592,22681534464,325271552,4293468160,25572536320
20.04106616973877,698764,,130596646912,109765251072,17934688256,325271552,4298768384,20831395840
20.543771743774414,699368,105426,130596646912,116476727296,11223216128,325271552,4298760192,14119919616
21.075066089630127,715972,,130596646912,117050044416,10649870336,325271552,4299198464,13546602496
21.57912254333496,715972,105680,130596646912,117050372096,10649542656,325271552,4299198464,13546274816
22.111361742019653,715972,,130596646912,117048889344,10651021312,325271552,4299206656,13547757568
22.61445927619934,715972,105680,130596646912,117048889344,10651021312,325271552,4299206656,13547757568
23.147222995758057,715972,,130596646912,117053923328,10645987328,325271552,4299214848,13542723584
23.650039196014404,715972,105680,130596646912,117053919232,10645987328,325271552,4299214848,13542727680
24.184930562973022,715976,,130596646912,117051154432,10648752128,325271552,4299214848,13545492480
24.688190698623657,715976,105680,130596646912,117051154432,10648752128,325271552,4299214848,13545492480
25.222166776657104,715976,,130596646912,117045219328,10654687232,325271552,4299218944,13551427584
25.725512504577637,715976,105680,130596646912,117045223424,10654687232,325271552,4299210752,13551423488
26.261447191238403,715976,,130596646912,117040549888,10659360768,325271552,4299210752,13556097024
26.764647245407104,715976,105680,130596646912,117038514176,10661396480,325271552,4299210752,13558132736
27.30112934112549,715976,,130596646912,117039951872,10659958784,325271552,4299210752,13556695040
27.804433822631836,716060,105680,130596646912,117039693824,10660216832,325271552,4299210752,13556953088
28.337862730026245,716060,,130596646912,117028655104,10671255552,325271552,4299214848,13567991808
28.841408491134644,716260,105680,130596646912,117027291136,10672619520,325271552,4299218944,13569355776
29.372896671295166,716260,,130596646912,117019688960,10680213504,325271552,4299218944,13576957952
29.876184225082397,716260,105680,130596646912,117019688960,10680213504,325271552,4299218944,13576957952
30.4118549823761,716260,,130596646912,117010018304,10689884160,325271552,4299218944,13586628608
30.915164709091187,716260,105680,130596646912,117009416192,10690486272,325271552,4299218944,13587230720
31.447189569473267,716260,,130596646912,116999471104,10700431360,325271552,4299223040,13597175808
31.950103998184204,716260,105680,130596646912,116999471104,10700431360,325271552,4299223040,13597175808
32.48312044143677,716260,,130596646912,116997091328,10702811136,325271552,4299223040,13599555584
32.985976219177246,716260,105680,130596646912,116995788800,10704084992,325271552,4299231232,13600858112
33.52047681808472,716264,,130596646912,116980887552,10718986240,325271552,4299231232,13615759360
34.02355480194092,716264,105680,130596646912,116980887552,10718986240,325271552,4299231232,13615759360
34.55839943885803,716264,,130596646912,116986740736,10713133056,325271552,4299231232,13609906176
35.06147360801697,716264,105680,130596646912,116984762368,10715111424,325271552,4299235328,13611884544
35.59294533729553,716264,,130596646912,116998459392,10701414400,325271552,4299235328,13598187520
36.09593915939331,716380,105680,130596646912,116997120000,10702753792,325271552,4299235328,13599526912
36.630221366882324,716380,,130596646912,116999213056,10700660736,325271552,4299235328,13597433856
37.133705139160156,716444,100618,130596646912,111662104576,16037761024,325271552,4299235328,18934542336
37.656635761260986,694004,,130596646912,56311345152,71388520448,325271552,4299235328,74285301760
38.158528089523315,562924,177,130596646912,4617330688,123082534912,191148032,4165111808,125979316224
38.681405544281006,,,130596646912,3876196352,123823669248,10485760,3984457728,126720450560
