t_s,rss_kib,cuda_used_mib,mem_total_bytes,mem_used_bytes,mem_free_bytes,mem_shared_bytes,mem_buff_cache_bytes,mem_available_bytes
0.0003871917724609375,8,,130596646912,4765790208,122935611392,10485760,3983040512,125830856704
0.5258190631866455,538464,,130596646912,7140884480,120560513024,323174400,4295585792,123455762432
1.027700424194336,538468,3766,130596646912,9047674880,118653722624,323174400,4295585792,121548972032
1.5510189533233643,538472,,130596646912,10921213952,116780183552,323174400,4295585792,119675432960
2.0535624027252197,538476,9142,130596646912,14727684096,112973713408,323174400,4295585792,115868962816
2.5767791271209717,538480,,130596646912,16633241600,111068155904,323174400,4295585792,113963405312
3.0790717601776123,538488,12726,130596646912,18538987520,109162401792,323174400,4295585792,112057659392
3.6027743816375732,538492,,130596646912,21016727552,106684661760,323174400,4295585792,109579919360
4.1056132316589355,538500,18102,130596646912,24241315840,103460073472,323174400,4295585792,106355331072
4.630091667175293,538504,,130596646912,26141523968,101559865344,323174400,4295585792,104455122944
5.131731033325195,538508,21686,130596646912,28037742592,99663646720,323174400,4295585792,102558904320
5.651222229003906,538516,,130596646912,31845261312,95856107520,323174400,4295585792,98751385600
6.154434680938721,538520,27062,130596646912,33751015424,93950353408,323174400,4295585792,96845631488
6.678822040557861,538524,,130596646912,35614666752,92086702080,323174400,4295606272,94981980160
7.180577754974365,538532,32438,130596646912,39426097152,88275271680,323174400,4295606272,91170549760
7.705695867538452,538536,,130596646912,41318322176,86383046656,323174400,4295606272,89278324736
8.207513809204102,538540,36022,130596646912,43217256448,84484112384,323174400,4295606272,87379390464
8.73139214515686,538548,,130596646912,46242955264,81458413568,323174400,4295606272,84353691648
9.234187126159668,538556,41398,130596646912,48930246656,78771122176,323174400,4295606272,81666400256
9.75773000717163,538560,,130596646912,50838605824,76862763008,323174400,4295606272,79758041088
10.260050296783447,538564,44982,130596646912,52740530176,74960838656,323174400,4295606272,77856116736
10.782780408859253,538572,,130596646912,56544407552,71156961280,323174400,4295614464,74052239360
11.284944295883179,538576,50358,130596646912,58435719168,69265649664,323174400,4295614464,72160927744
11.807740926742554,538580,,130596646912,60338794496,67362574336,323174400,4295614464,70257852416
12.310540914535522,538588,55734,130596646912,64132829184,63568539648,323174400,4295614464,66463817728
12.832422018051147,538592,,130596646912,66030317568,61671051264,323174400,4295614464,64566329344
13.334532737731934,538596,59318,130596646912,67927400448,59773968384,323174400,4295614464,62669246464
13.85713243484497,538604,,130596646912,71282057216,56419311616,323174400,4295614464,59314589696
14.360249996185303,538608,64694,130596646912,73641439232,54059929600,323174400,4295618560,56955207680
14.883041381835938,538612,,130596646912,75564658688,52136710144,323174400,4295618560,55031988224
15.385168075561523,538616,70070,130596646912,77455450112,50245918720,323174400,4295618560,53141196800
15.953683376312256,538624,,130596646912,81248260096,46453108736,323174400,4295618560,49348386816
16.45630693435669,538632,73654,130596646912,83145633792,44555735040,323174400,4295618560,47451013120
16.979347229003906,538636,,130596646912,85442076672,42259292160,323174400,4295618560,45154570240
17.48192286491394,538652,79030,130596646912,88859328512,38846619648,323174400,4291039232,41737318400
18.004028797149658,538656,,130596646912,92654428160,35052441600,323174400,4290117632,37942218752
18.506842613220215,538664,86198,130596646912,96464007168,31242862592,323174400,4290117632,34132639744
19.030670642852783,538672,,130596646912,100273627136,27433242624,323174400,4290117632,30323019776
19.532558917999268,619332,89824,130596646912,100368113664,27338481664,323174400,4290408448,30228533248
20.055121421813965,681484,,130596646912,100416503808,27290349568,323174400,4290150400,30180143104
20.557234048843384,685408,89824,130596646912,100417867776,27288985600,323174400,4290150400,30178779136
21.079564094543457,685988,,130596646912,100413444096,27293409280,323174400,4290150400,30183202816
21.58188796043396,724700,92986,130596646912,102625423360,25106604032,323174400,4264751104,27971223552
22.12486696243286,864892,,130596646912,109112512512,18613706752,323174400,4270534656,21484134400
22.627305269241333,865432,104304,130596646912,115764211712,11961958400,323174400,4270534656,14832435200
23.16361713409424,865616,,130596646912,117442920448,10283237376,323174400,4270538752,13153726464
23.667491912841797,865616,105676,130596646912,117442920448,10283237376,323174400,4270538752,13153726464
24.19681453704834,865616,,130596646912,117459722240,10266435584,323174400,4270542848,13136924672
24.699487686157227,865616,105676,130596646912,117459464192,10266693632,323174400,4270551040,13137182720
25.231029272079468,865616,,130596646912,117434130432,10291961856,323174400,4270690304,13162516480
25.734610080718994,865616,105676,130596646912,117433204736,10292944896,323174400,4270551040,13163442176
26.262863874435425,865616,,130596646912,117426081792,10300067840,323174400,4270551040,13170565120
26.765846729278564,865616,105676,130596646912,117417766912,10308325376,323174400,4270702592,13178880000
27.29452419281006,865616,,130596646912,117426290688,10299854848,323174400,4270575616,13170356224
27.79842257499695,865616,105676,130596646912,117426290688,10299854848,323174400,4270579712,13170356224
28.327548027038574,865616,,130596646912,117436538880,10289545216,323174400,4270583808,13160108032
28.83110523223877,865616,105676,130596646912,117436538880,10289545216,323174400,4270600192,13160108032
29.360682487487793,865616,,130596646912,117428281344,10297802752,323174400,4270600192,13168365568
29.86445951461792,865616,105676,130596646912,117428281344,10297802752,323174400,4270600192,13168365568
30.39503502845764,865616,,130596646912,117414678528,10311405568,323174400,4270600192,13181968384
30.89896273612976,865616,105676,130596646912,117414678528,10311405568,323174400,4270608384,13181968384
31.429008722305298,865636,,130596646912,117430935552,10295148544,323174400,4270612480,13165711360
31.93247103691101,865636,105676,130596646912,117430935552,10295148544,323174400,4270612480,13165711360
32.46401000022888,865636,,130596646912,117425913856,10300170240,323174400,4270612480,13170733056
32.96781301498413,865636,105676,130596646912,117425913856,10300170240,323174400,4270612480,13170733056
33.4997181892395,865636,,130596646912,117410426880,10315657216,323174400,4270612480,13186220032
34.00351047515869,865636,105676,130596646912,117410426880,10315657216,323174400,4270612480,13186220032
34.53471612930298,865636,,130596646912,117392678912,10333405184,323174400,4270612480,13203968000
35.03805875778198,865636,105676,130596646912,117392678912,10333405184,323174400,4270612480,13203968000
35.573782444000244,865636,,130596646912,117400903680,10325147648,323174400,4270624768,13195743232
36.076212644577026,865636,105676,130596646912,117392642048,10333405184,323174400,4270624768,13204004864
36.60553312301636,865636,,130596646912,117374656512,10351390720,323174400,4270624768,13221990400
37.10874128341675,865636,105676,130596646912,117366398976,10359648256,323174400,4270624768,13230247936
37.64606523513794,865636,,130596646912,117390393344,10335653888,323174400,4270624768,13206253568
38.149139165878296,865636,105676,130596646912,117382135808,10343911424,323174400,4270624768,13214511104
38.68148875236511,865636,,130596646912,117365813248,10360233984,323174400,4270624768,13230833664
39.18477153778076,865636,105676,130596646912,117352308736,10373738496,323174400,4270628864,13244338176
39.71789240837097,865636,,130596646912,117349937152,10376110080,323174400,4270628864,13246709760
40.22240138053894,865636,105676,130596646912,117341667328,10384379904,323174400,4270628864,13254979584
40.75446009635925,865636,,130596646912,117342253056,10383794176,323174400,4270637056,13254393856
41.25723457336426,865636,105676,130596646912,117333987328,10392051712,323174400,4270637056,13262659584
41.78948402404785,843260,,130596646912,79499317248,48226721792,323174400,4270637056,51097329664
42.292749643325806,843260,16389,130596646912,24231731200,103494307840,323174400,4270637056,106364915712
42.816121101379395,,,130596646912,4062179328,123663867904,10485760,3957932032,126534467584
