t_s,rss_kib,cuda_used_mib,mem_total_bytes,mem_used_bytes,mem_free_bytes,mem_shared_bytes,mem_buff_cache_bytes,mem_available_bytes
0.00031948089599609375,8,,130596646912,4115582976,123608932352,10485760,3959541760,126481063936
0.5224614143371582,538476,,130596646912,6709022720,121015459840,323174400,4272238592,123887624192
1.0242602825164795,538480,3766,130596646912,8607014912,119117467648,323174400,4272238592,121989632000
1.5459465980529785,538480,,130596646912,10513514496,117210939392,323174400,4272246784,120083132416
2.0477471351623535,538488,9142,130596646912,14317596672,113406857216,323174400,4272246784,116279050240
2.569199323654175,538492,,130596646912,16213585920,111510867968,323174400,4272271360,114383060992
3.071026563644409,538496,12726,130596646912,18120462336,109603991552,323174400,4272275456,112476184576
3.593899965286255,538504,,130596646912,21917532160,105806843904,323174400,4272447488,108679114752
4.095739126205444,538508,18102,130596646912,23817281536,103907151872,323174400,4272275456,106779365376
4.618251085281372,538512,,130596646912,25733296128,101991108608,323174400,4272300032,104863350784
5.120832204818726,538520,23478,130596646912,29532958720,98191446016,323174400,4272300032,101063688192
5.6443235874176025,538524,,130596646912,31432278016,96292126720,323174400,4272300032,99164368896
6.1466193199157715,538528,27062,130596646912,33334444032,94389960704,323174400,4272300032,97262202880
6.669493198394775,538536,,130596646912,36755402752,90968997888,323174400,4272300032,93841244160
7.17153787612915,538540,32438,130596646912,39048167424,88676233216,323174400,4272300032,91548479488
7.6934592723846436,538544,,130596646912,40955731968,86768668672,323174400,4272300032,89640914944
8.195128440856934,538548,37814,130596646912,42855501824,84868898816,323174400,4272300032,87741145088
8.765749454498291,538556,,130596646912,46675791872,81048608768,323174400,4272300032,83920855040
9.267791986465454,538564,41398,130596646912,48586866688,79137533952,323174400,4272300032,82009780224
9.788654804229736,538572,,130596646912,51486900224,76237500416,323174400,4272300032,79109746688
10.291126012802124,538576,46774,130596646912,54287241216,73437122560,323174400,4272308224,76309405696
10.81388235092163,538580,,130596646912,56184229888,71540133888,323174400,4272308224,74412417024
11.316318273544312,538584,52150,130596646912,58089299968,69635063808,323174400,4272308224,72507346944
11.886059284210205,538592,,130596646912,61891981312,65832382464,323174400,4272308224,68704665600
12.387812376022339,538596,55734,130596646912,63791239168,63933124608,323174400,4272308224,66805407744
12.910287380218506,538604,,130596646912,66703372288,61020991488,323174400,4272308224,63893274624
13.412655591964722,538612,61110,130596646912,69509165056,58215198720,323174400,4272308224,61087481856
13.935221910476685,538616,,130596646912,71422689280,56301674496,323174400,4272308224,59173957632
14.437567710876465,538620,66486,130596646912,73314615296,54409748480,323174400,4272308224,57282031616
15.007107734680176,538628,,130596646912,77125697536,50598666240,323174400,4272308224,53470949376
15.508907794952393,538632,70070,130596646912,79033004032,48691359744,323174400,4272308224,51563642880
16.031452417373657,538636,,130596646912,82160316416,45564047360,323174400,4272308224,48436330496
16.533190965652466,538644,75446,130596646912,84746010624,42978353152,323174400,4272312320,45850636288
17.0555739402771,538648,,130596646912,86641655808,41082707968,323174400,4272312320,43954991104
17.55776572227478,538660,80822,130596646912,90452807680,37277196288,323174400,4266663936,40143839232
18.078575611114502,538668,,130596646912,94252875776,33477128192,323174400,4266663936,36343771136
18.580959796905518,538676,87990,130596646912,98066751488,29663252480,323174400,4266663936,32529895424
19.10303020477295,538680,,130596646912,99976314880,27753689088,323174400,4266663936,30620332032
19.605987071990967,702732,95736,130596646912,106325737472,21398810624,323174400,4272119808,24270909440
20.14432168006897,703060,,130596646912,113049489408,14675058688,323174400,4272119808,17547157504
20.647846221923828,703464,105676,130596646912,117062053888,10662154240,323174400,4272459776,13534593024
21.17939281463623,703464,,130596646912,117085179904,10639028224,323174400,4272459776,13511467008
21.682414293289185,703464,105676,130596646912,117082918912,10641289216,323174400,4272459776,13513728000
22.210784435272217,703464,,130596646912,117077585920,10646622208,323174400,4272463872,13519060992
22.71383237838745,703464,105676,130596646912,117077327872,10646880256,323174400,4272463872,13519319040
