t_s,rss_kib,cuda_used_mib,mem_total_bytes,mem_used_bytes,mem_free_bytes,mem_shared_bytes,mem_buff_cache_bytes,mem_available_bytes
0.0008234977722167969,4,,130596646912,3907301376,123816214528,10620928,3960655872,126689345536
0.5222671031951904,538468,,130596646912,6492876800,121230630912,323309568,4273348608,124103770112
1.024773359298706,538472,3766,130596646912,8400838656,119322648576,323174400,4273242112,122195808256
1.5473401546478271,538476,,130596646912,10301505536,117421981696,323174400,4273242112,120295141376
2.049621820449829,538480,9142,130596646912,14113599488,113609887744,323174400,4273242112,116483047424
2.571852922439575,538484,,130596646912,16033808384,111689678848,323174400,4273242112,114562838528
3.0738778114318848,538488,12726,130596646912,17941114880,109782372352,323174400,4273242112,112655532032
3.595057964324951,538496,,130596646912,21752086528,105971400704,323174400,4273242112,108844560384
4.097454309463501,538500,18102,130596646912,23658037248,104065449984,323174400,4273242112,106938609664
4.6195151805877686,538504,,130596646912,25573363712,102150123520,323174400,4273242112,105023283200
5.122222900390625,538512,23478,130596646912,29373034496,98350452736,323174400,4273242112,101223612416
5.649213790893555,538516,,130596646912,31301472256,96422014976,323174400,4273242112,99295174656
6.1517250537872314,538520,27062,130596646912,33204932608,94518554624,323174400,4273242112,97391714304
6.673915147781372,538528,,130596646912,36694589440,91028897792,323174400,4273242112,93902057472
7.1764585971832275,538532,32438,130596646912,38927716352,88795770880,323174400,4273242112,91668930560
7.698549509048462,538536,,130596646912,40854872064,86868594688,323174400,4273242112,89741774848
8.200241327285767,538540,37814,130596646912,42754596864,84968869888,323174400,4273262592,87842050048
8.767195463180542,538548,,130596646912,46558326784,81165135872,323174400,4273262592,84038320128
9.268949270248413,538556,41398,130596646912,48457633792,79265828864,323174400,4273262592,82139013120
9.790929555892944,538564,,130596646912,51738234880,75985227776,323174400,4273262592,78858412032
10.29314398765564,538568,46774,130596646912,54159740928,73563664384,323174400,4273364992,76436905984
10.812435388565063,538572,,130596646912,56062169088,71661293568,323174400,4273262592,74534477824
11.314948320388794,538576,52150,130596646912,57967153152,69756309504,323174400,4273262592,72629493760
11.879645586013794,538584,,130596646912,61789986816,65933471744,323174400,4273270784,68806660096
12.381619215011597,538588,55734,130596646912,63692496896,64030961664,323174400,4273270784,66904150016
12.904897212982178,538596,,130596646912,66787323904,60936134656,323174400,4273270784,63809323008
13.406989097595215,538604,61110,130596646912,69402660864,58320801792,323174400,4273262592,61193986048
13.929718494415283,538608,,130596646912,71326728192,56396734464,323174400,4273262592,59269918720
14.431601762771606,538612,66486,130596646912,73222987776,54500470784,323174400,4273270784,57373659136
15.000420331954956,538620,,130596646912,77033213952,50690244608,323174400,4273270784,53563432960
15.502281427383423,538624,70070,130596646912,78929264640,48794193920,323174400,4273270784,51667382272
