ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,387.85,128,14.25,52184460
4096,2048,384.59,128,14.48,80373132
6144,2048,388.74,128,14.37,108561804
8192,2048,384.41,128,14.17,136750476
10240,2048,378.58,128,14.10,164939148
12288,2048,375.35,128,14.05,193127820
14336,2048,371.60,128,13.98,221316492
16384,2048,369.58,128,14.02,249505164
18432,2048,366.50,128,13.93,277693836
20480,2048,363.50,128,13.87,305882508
22528,2048,360.19,128,13.80,334071180
24576,2048,356.40,128,13.68,362259852
26624,2048,353.71,128,13.60,390448524
28672,2048,350.59,128,13.51,418637196
30720,2048,347.73,128,13.41,446825868
32768,2048,344.79,128,12.99,475014540
