ds4-bench: context buffers 228.59 MiB (ctx=2051, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=514)
ds4: CUDA backend initialized on NVIDIA GB10 (sm_121)
ds4: CUDA using unordered one-token F16 matmul on GB10/sm_121
ds4: CUDA host registration skipped: operation not supported
ds4: CUDA loading model tensors into device cache
ds4: CUDA loading model tensors 16.02 GiB cached
ds4: CUDA loading model tensors 32.06 GiB cached
ds4: CUDA loading model tensors 48.02 GiB cached
ds4: CUDA loading model tensors 64.06 GiB cached
ds4: CUDA loading model tensors 80.04 GiB cached
ds4: CUDA startup model cache prepared 80.76 GiB of tensor spans in 22.031s
ds4: cuda backend initialized for graph diagnostics
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 attn_hc_pre=0.090 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 attn_norm=0.017 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 q_path=0.267 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 kv_path=0.022 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 compressor_indexer=0.002 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 attention=0.295 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 attn_output=0.885 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 attn_hc_post=0.004 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 ffn_hc_pre=0.109 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 router=0.040 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 routed_moe=0.383 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 shared_gate_up=0.114 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=0 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 attn_hc_pre=0.075 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 q_path=0.240 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 kv_path=0.017 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 compressor_indexer=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 attention=0.073 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 attn_output=0.329 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 ffn_hc_pre=0.070 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 routed_moe=0.358 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 shared_gate_up=0.093 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 shared_down=0.056 ms
ds4: metal layer stage part=decode layer=1 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 attn_hc_pre=0.074 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 q_path=0.241 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 compressor_indexer=0.210 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 attention=0.434 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 attn_output=0.339 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 ffn_hc_pre=0.070 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 router=0.029 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 routed_moe=0.354 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 shared_gate_up=0.095 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 shared_down=0.054 ms
ds4: metal layer stage part=decode layer=2 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 attn_hc_pre=0.075 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 q_path=0.235 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 compressor_indexer=0.079 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 attention=0.093 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 attn_output=0.340 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 ffn_hc_pre=0.069 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 routed_moe=0.359 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 shared_gate_up=0.094 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 shared_down=0.056 ms
ds4: metal layer stage part=decode layer=3 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 attn_hc_pre=0.070 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 q_path=0.245 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 kv_path=0.019 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 compressor_indexer=0.191 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 attention=0.428 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 attn_output=0.336 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 ffn_hc_pre=0.068 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 routed_moe=0.355 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 shared_gate_up=0.094 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 shared_down=0.056 ms
ds4: metal layer stage part=decode layer=4 pos=2048 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 attn_hc_pre=0.073 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 q_path=0.234 ms
ds4: metal layer stage part=decode layer=5 pos=2048 tokens=1 kv_path=0.019 ms
