ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,388.59,128,16.41,52184460
4096,2048,386.72,128,16.30,80373132
6144,2048,381.93,128,16.15,108561804
8192,2048,377.85,128,16.00,136750476
10240,2048,372.58,128,15.92,164939148
12288,2048,369.38,128,15.85,193127820
14336,2048,365.94,128,15.77,221316492
16384,2048,364.44,128,15.77,249505164
18432,2048,360.75,128,15.72,277693836
20480,2048,358.16,128,15.65,305882508
22528,2048,355.14,128,15.53,334071180
24576,2048,351.75,128,15.45,362259852
26624,2048,348.55,128,15.33,390448524
28672,2048,345.27,128,15.23,418637196
30720,2048,343.27,128,15.12,446825868
32768,2048,340.34,128,14.60,475014540
34816,2048,327.67,128,14.52,503203212
36864,2048,325.23,128,14.45,531391884
38912,2048,322.07,128,14.38,559580556
40960,2048,320.11,128,14.35,587769228
43008,2048,317.88,128,14.26,615957900
45056,2048,315.39,128,14.26,644146572
47104,2048,312.73,128,14.14,672335244
49152,2048,310.25,128,14.12,700523916
51200,2048,305.36,128,14.01,728712588
53248,2048,303.11,128,13.93,756901260
55296,2048,301.04,128,13.87,785089932
57344,2048,298.78,128,13.77,813278604
59392,2048,296.94,128,13.76,841467276
61440,2048,294.72,128,13.63,869655948
63488,2048,292.88,128,13.57,897844620
65536,2048,290.62,128,13.48,926033292
