ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,389.15,128,16.48,52184460
4096,2048,387.77,128,16.33,80373132
6144,2048,382.35,128,16.26,108561804
8192,2048,378.32,128,16.06,136750476
10240,2048,373.06,128,15.93,164939148
12288,2048,369.48,128,15.90,193127820
14336,2048,366.31,128,15.82,221316492
16384,2048,364.40,128,15.86,249505164
18432,2048,361.15,128,15.78,277693836
20480,2048,358.13,128,15.66,305882508
22528,2048,355.16,128,15.61,334071180
24576,2048,351.71,128,15.50,362259852
26624,2048,348.80,128,15.41,390448524
28672,2048,346.17,128,15.28,418637196
30720,2048,343.22,128,15.16,446825868
32768,2048,340.76,128,14.66,475014540
34816,2048,327.73,128,14.54,503203212
36864,2048,325.15,128,14.49,531391884
38912,2048,323.12,128,14.43,559580556
40960,2048,320.11,128,14.40,587769228
43008,2048,317.85,128,14.32,615957900
45056,2048,315.03,128,14.26,644146572
47104,2048,312.73,128,14.22,672335244
49152,2048,310.24,128,14.14,700523916
51200,2048,305.53,128,14.04,728712588
53248,2048,303.55,128,13.97,756901260
55296,2048,301.00,128,13.90,785089932
57344,2048,299.46,128,13.83,813278604
59392,2048,297.24,128,13.76,841467276
61440,2048,295.04,128,13.68,869655948
63488,2048,293.07,128,13.61,897844620
65536,2048,290.96,128,13.53,926033292
