ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,389.81,128,16.18,52184460
4096,2048,388.12,128,16.03,80373132
6144,2048,382.62,128,15.98,108561804
8192,2048,379.00,128,15.73,136750476
10240,2048,373.51,128,15.64,164939148
12288,2048,370.40,128,15.57,193127820
14336,2048,366.19,128,15.50,221316492
16384,2048,364.94,128,15.54,249505164
18432,2048,362.07,128,15.42,277693836
20480,2048,359.03,128,15.36,305882508
22528,2048,355.73,128,15.27,334071180
24576,2048,352.40,128,15.18,362259852
26624,2048,349.48,128,15.10,390448524
28672,2048,346.62,128,14.97,418637196
30720,2048,344.25,128,14.83,446825868
32768,2048,340.88,128,14.34,475014540
34816,2048,328.34,128,14.27,503203212
36864,2048,325.82,128,14.20,531391884
38912,2048,323.11,128,14.14,559580556
40960,2048,320.91,128,14.12,587769228
43008,2048,317.84,128,14.03,615957900
45056,2048,315.78,128,14.00,644146572
47104,2048,313.38,128,13.90,672335244
49152,2048,310.62,128,13.86,700523916
51200,2048,306.12,128,13.76,728712588
53248,2048,304.05,128,13.71,756901260
55296,2048,301.72,128,13.62,785089932
57344,2048,299.71,128,13.55,813278604
59392,2048,297.59,128,13.47,841467276
61440,2048,295.64,128,13.40,869655948
63488,2048,293.68,128,13.34,897844620
65536,2048,291.55,128,13.26,926033292
