ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,390.46,128,16.33,52184460
4096,2048,389.83,128,16.17,80373132
6144,2048,384.09,128,16.09,108561804
8192,2048,381.43,128,15.87,136750476
10240,2048,375.60,128,15.77,164939148
12288,2048,372.50,128,15.71,193127820
14336,2048,368.39,128,15.63,221316492
16384,2048,366.92,128,15.66,249505164
18432,2048,363.41,128,15.59,277693836
20480,2048,360.31,128,15.50,305882508
22528,2048,357.41,128,15.41,334071180
24576,2048,354.82,128,15.31,362259852
26624,2048,351.06,128,15.19,390448524
28672,2048,348.43,128,15.10,418637196
30720,2048,345.95,128,14.99,446825868
32768,2048,342.92,128,14.48,475014540
34816,2048,330.06,128,14.42,503203212
36864,2048,327.88,128,14.32,531391884
38912,2048,325.08,128,14.28,559580556
40960,2048,322.54,128,14.26,587769228
43008,2048,320.01,128,14.19,615957900
45056,2048,317.87,128,14.15,644146572
47104,2048,315.29,128,14.05,672335244
49152,2048,312.56,128,14.02,700523916
51200,2048,307.86,128,13.93,728712588
53248,2048,305.83,128,13.86,756901260
55296,2048,303.63,128,13.77,785089932
57344,2048,301.51,128,13.70,813278604
59392,2048,299.37,128,13.65,841467276
61440,2048,297.17,128,13.53,869655948
63488,2048,295.15,128,13.50,897844620
65536,2048,293.33,128,13.43,926033292
