ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,389.31,128,16.48,52184460
4096,2048,387.72,128,16.37,80373132
6144,2048,382.30,128,16.28,108561804
8192,2048,378.46,128,16.07,136750476
10240,2048,373.12,128,15.98,164939148
12288,2048,369.58,128,15.89,193127820
14336,2048,365.83,128,15.82,221316492
16384,2048,364.76,128,15.88,249505164
18432,2048,361.31,128,15.76,277693836
20480,2048,358.38,128,15.69,305882508
22528,2048,355.41,128,15.61,334071180
24576,2048,351.77,128,15.50,362259852
26624,2048,349.50,128,15.40,390448524
28672,2048,346.12,128,15.27,418637196
30720,2048,342.87,128,15.18,446825868
32768,2048,340.62,128,14.63,475014540
34816,2048,327.86,128,14.58,503203212
36864,2048,325.40,128,14.49,531391884
38912,2048,322.71,128,14.44,559580556
40960,2048,320.06,128,14.41,587769228
43008,2048,317.68,128,14.30,615957900
45056,2048,315.41,128,14.28,644146572
47104,2048,312.77,128,14.20,672335244
49152,2048,310.33,128,14.17,700523916
51200,2048,305.84,128,14.03,728712588
53248,2048,303.39,128,13.99,756901260
55296,2048,301.31,128,13.92,785089932
57344,2048,299.33,128,13.82,813278604
59392,2048,297.14,128,13.75,841467276
61440,2048,295.19,128,13.67,869655948
63488,2048,292.90,128,13.63,897844620
65536,2048,291.12,128,13.53,926033292
