ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,389.06,128,16.44,52184460
4096,2048,387.67,128,16.30,80373132
6144,2048,381.96,128,16.18,108561804
8192,2048,379.00,128,16.01,136750476
10240,2048,373.20,128,15.92,164939148
12288,2048,369.37,128,15.86,193127820
14336,2048,366.00,128,15.72,221316492
16384,2048,364.64,128,15.83,249505164
18432,2048,361.54,128,15.74,277693836
20480,2048,358.51,128,15.65,305882508
22528,2048,355.51,128,15.56,334071180
24576,2048,352.66,128,15.43,362259852
26624,2048,348.28,128,15.37,390448524
28672,2048,346.17,128,15.25,418637196
30720,2048,343.31,128,15.11,446825868
32768,2048,340.91,128,14.61,475014540
34816,2048,327.91,128,14.50,503203212
36864,2048,325.40,128,14.44,531391884
38912,2048,322.75,128,14.40,559580556
40960,2048,320.43,128,14.36,587769228
43008,2048,317.77,128,14.26,615957900
45056,2048,315.42,128,14.25,644146572
47104,2048,313.06,128,14.17,672335244
49152,2048,310.43,128,14.11,700523916
51200,2048,305.50,128,14.02,728712588
53248,2048,303.51,128,13.94,756901260
55296,2048,301.08,128,13.88,785089932
57344,2048,299.33,128,13.79,813278604
59392,2048,297.15,128,13.74,841467276
61440,2048,295.21,128,13.65,869655948
63488,2048,292.90,128,13.58,897844620
65536,2048,290.98,128,13.49,926033292
