ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,388.59,128,16.21,52184460
4096,2048,387.37,128,16.04,80373132
6144,2048,381.75,128,15.99,108561804
8192,2048,378.50,128,15.76,136750476
10240,2048,373.27,128,15.67,164939148
12288,2048,369.28,128,15.63,193127820
14336,2048,366.46,128,15.54,221316492
16384,2048,364.17,128,15.58,249505164
18432,2048,361.23,128,15.49,277693836
20480,2048,357.87,128,15.40,305882508
22528,2048,355.16,128,15.34,334071180
24576,2048,352.27,128,15.22,362259852
26624,2048,348.99,128,15.13,390448524
28672,2048,346.29,128,15.04,418637196
30720,2048,343.61,128,14.89,446825868
32768,2048,340.90,128,14.42,475014540
34816,2048,327.90,128,14.33,503203212
36864,2048,325.43,128,14.26,531391884
38912,2048,323.03,128,14.21,559580556
40960,2048,320.98,128,14.16,587769228
43008,2048,318.61,128,14.09,615957900
45056,2048,316.10,128,14.03,644146572
47104,2048,313.75,128,13.97,672335244
49152,2048,311.78,128,13.94,700523916
51200,2048,306.97,128,13.82,728712588
53248,2048,304.66,128,13.77,756901260
55296,2048,302.10,128,13.71,785089932
57344,2048,300.33,128,13.62,813278604
59392,2048,298.15,128,13.56,841467276
61440,2048,296.22,128,13.44,869655948
63488,2048,294.13,128,13.40,897844620
65536,2048,292.19,128,13.33,926033292
