ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,387.69,128,16.42,52184460
4096,2048,386.64,128,16.28,80373132
6144,2048,381.91,128,16.17,108561804
8192,2048,377.59,128,16.00,136750476
10240,2048,372.26,128,15.89,164939148
12288,2048,368.96,128,15.85,193127820
14336,2048,365.57,128,15.76,221316492
16384,2048,363.68,128,15.79,249505164
18432,2048,360.76,128,15.73,277693836
20480,2048,357.04,128,15.63,305882508
22528,2048,354.33,128,15.53,334071180
24576,2048,351.28,128,15.45,362259852
26624,2048,348.49,128,15.32,390448524
28672,2048,345.18,128,15.24,418637196
30720,2048,342.96,128,15.11,446825868
32768,2048,339.88,128,14.61,475014540
34816,2048,327.40,128,14.52,503203212
36864,2048,324.45,128,14.42,531391884
38912,2048,322.30,128,14.38,559580556
40960,2048,319.82,128,14.35,587769228
43008,2048,317.38,128,14.27,615957900
45056,2048,314.90,128,14.23,644146572
47104,2048,312.15,128,14.16,672335244
49152,2048,309.91,128,14.11,700523916
51200,2048,305.03,128,14.00,728712588
53248,2048,303.01,128,13.95,756901260
55296,2048,300.73,128,13.85,785089932
57344,2048,299.02,128,13.76,813278604
59392,2048,296.82,128,13.74,841467276
61440,2048,294.96,128,13.63,869655948
63488,2048,292.44,128,13.56,897844620
65536,2048,290.50,128,13.50,926033292
