ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,395.50,128,16.28,52184460
4096,2048,393.71,128,16.09,80373132
6144,2048,386.82,128,16.00,108561804
8192,2048,383.54,128,15.78,136750476
10240,2048,376.82,128,15.70,164939148
12288,2048,373.17,128,15.63,193127820
14336,2048,368.75,128,15.54,221316492
16384,2048,367.22,128,15.58,249505164
18432,2048,363.99,128,15.47,277693836
20480,2048,360.89,128,15.39,305882508
22528,2048,357.10,128,15.32,334071180
24576,2048,354.31,128,15.21,362259852
26624,2048,350.60,128,15.12,390448524
28672,2048,347.49,128,15.01,418637196
30720,2048,344.64,128,14.89,446825868
32768,2048,341.71,128,14.39,475014540
34816,2048,328.96,128,14.32,503203212
36864,2048,325.94,128,14.24,531391884
38912,2048,323.50,128,14.19,559580556
40960,2048,321.11,128,14.15,587769228
43008,2048,318.32,128,14.08,615957900
45056,2048,315.81,128,14.05,644146572
47104,2048,313.16,128,13.96,672335244
49152,2048,310.30,128,13.92,700523916
51200,2048,306.02,128,13.81,728712588
53248,2048,303.67,128,13.75,756901260
55296,2048,301.42,128,13.68,785089932
57344,2048,299.35,128,13.61,813278604
59392,2048,297.55,128,13.55,841467276
61440,2048,295.61,128,13.46,869655948
63488,2048,293.21,128,13.40,897844620
65536,2048,291.22,128,13.32,926033292
