ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,388.00,128,16.66,52184460
4096,2048,385.89,128,16.50,80373132
6144,2048,380.90,128,16.45,108561804
8192,2048,376.99,128,16.17,136750476
10240,2048,371.65,128,16.11,164939148
12288,2048,368.38,128,16.06,193127820
14336,2048,364.98,128,15.99,221316492
16384,2048,362.99,128,16.03,249505164
18432,2048,360.03,128,15.93,277693836
20480,2048,356.97,128,15.84,305882508
22528,2048,354.20,128,15.75,334071180
24576,2048,350.36,128,15.65,362259852
26624,2048,347.76,128,15.52,390448524
28672,2048,345.20,128,15.43,418637196
30720,2048,342.31,128,15.32,446825868
32768,2048,339.19,128,14.79,475014540
34816,2048,326.66,128,14.71,503203212
36864,2048,324.38,128,14.63,531391884
38912,2048,321.78,128,14.58,559580556
40960,2048,319.16,128,14.52,587769228
43008,2048,316.99,128,14.44,615957900
45056,2048,314.53,128,14.37,644146572
47104,2048,311.82,128,14.34,672335244
49152,2048,309.31,128,14.28,700523916
51200,2048,304.83,128,14.19,728712588
53248,2048,302.65,128,14.11,756901260
55296,2048,300.30,128,14.04,785089932
57344,2048,298.39,128,13.96,813278604
59392,2048,296.26,128,13.90,841467276
61440,2048,294.25,128,13.79,869655948
63488,2048,291.73,128,13.75,897844620
65536,2048,289.82,128,13.66,926033292
