ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,389.54,128,16.42,52184460
4096,2048,387.97,128,16.27,80373132
6144,2048,383.08,128,16.20,108561804
8192,2048,378.99,128,15.98,136750476
10240,2048,373.60,128,15.88,164939148
12288,2048,370.02,128,15.83,193127820
14336,2048,366.73,128,15.75,221316492
16384,2048,364.49,128,15.79,249505164
18432,2048,361.54,128,15.70,277693836
20480,2048,358.31,128,15.62,305882508
22528,2048,355.31,128,15.54,334071180
24576,2048,352.34,128,15.44,362259852
26624,2048,349.15,128,15.34,390448524
28672,2048,346.39,128,15.22,418637196
30720,2048,343.76,128,15.12,446825868
32768,2048,340.82,128,14.60,475014540
34816,2048,328.20,128,14.53,503203212
36864,2048,325.44,128,14.45,531391884
38912,2048,322.77,128,14.39,559580556
40960,2048,320.60,128,14.36,587769228
43008,2048,318.03,128,14.28,615957900
45056,2048,315.43,128,14.24,644146572
47104,2048,313.04,128,14.17,672335244
49152,2048,310.75,128,14.12,700523916
51200,2048,305.86,128,14.02,728712588
53248,2048,303.57,128,13.96,756901260
55296,2048,301.23,128,13.88,785089932
57344,2048,299.22,128,13.80,813278604
59392,2048,297.19,128,13.75,841467276
61440,2048,295.25,128,13.64,869655948
63488,2048,293.03,128,13.60,897844620
65536,2048,291.53,128,13.51,926033292
