ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,388.88,128,16.37,52184460
4096,2048,387.00,128,16.22,80373132
6144,2048,382.96,128,16.13,108561804
8192,2048,378.68,128,15.97,136750476
10240,2048,373.09,128,15.87,164939148
12288,2048,369.69,128,15.81,193127820
14336,2048,366.75,128,15.68,221316492
16384,2048,364.46,128,15.78,249505164
18432,2048,361.26,128,15.69,277693836
20480,2048,358.34,128,15.59,305882508
22528,2048,354.94,128,15.51,334071180
24576,2048,351.98,128,15.38,362259852
26624,2048,349.15,128,15.32,390448524
28672,2048,346.07,128,15.20,418637196
30720,2048,343.32,128,15.08,446825868
32768,2048,340.54,128,14.58,475014540
34816,2048,327.59,128,14.48,503203212
36864,2048,325.36,128,14.42,531391884
38912,2048,322.81,128,14.35,559580556
40960,2048,320.38,128,14.28,587769228
43008,2048,317.70,128,14.25,615957900
45056,2048,315.32,128,14.19,644146572
47104,2048,312.94,128,14.13,672335244
49152,2048,310.05,128,14.08,700523916
51200,2048,305.59,128,13.99,728712588
53248,2048,303.37,128,13.91,756901260
55296,2048,301.32,128,13.82,785089932
57344,2048,299.13,128,13.75,813278604
59392,2048,297.10,128,13.71,841467276
61440,2048,295.45,128,13.60,869655948
63488,2048,292.94,128,13.55,897844620
65536,2048,290.77,128,13.45,926033292
