ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,388.27,128,16.48,52184460
4096,2048,386.09,128,16.31,80373132
6144,2048,381.36,128,16.27,108561804
8192,2048,377.04,128,16.05,136750476
10240,2048,372.29,128,15.98,164939148
12288,2048,368.52,128,15.92,193127820
14336,2048,365.10,128,15.82,221316492
16384,2048,363.39,128,15.91,249505164
18432,2048,360.41,128,15.80,277693836
20480,2048,357.80,128,15.67,305882508
22528,2048,354.40,128,15.61,334071180
24576,2048,351.53,128,15.48,362259852
26624,2048,348.08,128,15.41,390448524
28672,2048,345.67,128,15.32,418637196
30720,2048,342.45,128,15.17,446825868
32768,2048,339.93,128,14.65,475014540
34816,2048,327.14,128,14.55,503203212
36864,2048,324.74,128,14.49,531391884
38912,2048,322.29,128,14.42,559580556
40960,2048,319.67,128,14.41,587769228
43008,2048,317.29,128,14.32,615957900
45056,2048,314.72,128,14.28,644146572
47104,2048,312.30,128,14.22,672335244
49152,2048,310.00,128,14.15,700523916
51200,2048,305.42,128,14.05,728712588
53248,2048,303.12,128,13.97,756901260
55296,2048,300.75,128,13.90,785089932
57344,2048,298.97,128,13.82,813278604
59392,2048,296.94,128,13.75,841467276
61440,2048,294.66,128,13.70,869655948
63488,2048,292.25,128,13.62,897844620
65536,2048,290.78,128,13.54,926033292
