ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,389.39,128,16.45,52184460
4096,2048,388.16,128,16.28,80373132
6144,2048,382.84,128,16.23,108561804
8192,2048,379.13,128,16.04,136750476
10240,2048,373.21,128,15.94,164939148
12288,2048,369.96,128,15.87,193127820
14336,2048,366.86,128,15.77,221316492
16384,2048,364.21,128,15.83,249505164
18432,2048,361.36,128,15.75,277693836
20480,2048,358.28,128,15.63,305882508
22528,2048,355.20,128,15.55,334071180
24576,2048,352.55,128,15.44,362259852
26624,2048,349.26,128,15.38,390448524
28672,2048,346.48,128,15.25,418637196
30720,2048,343.86,128,15.12,446825868
32768,2048,340.92,128,14.61,475014540
34816,2048,328.31,128,14.52,503203212
36864,2048,325.23,128,14.45,531391884
38912,2048,323.25,128,14.40,559580556
40960,2048,320.28,128,14.36,587769228
43008,2048,318.08,128,14.28,615957900
45056,2048,315.44,128,14.26,644146572
47104,2048,312.74,128,14.18,672335244
49152,2048,310.33,128,14.15,700523916
51200,2048,305.71,128,14.01,728712588
53248,2048,303.82,128,13.96,756901260
55296,2048,301.64,128,13.85,785089932
57344,2048,299.24,128,13.78,813278604
59392,2048,297.24,128,13.76,841467276
61440,2048,295.34,128,13.65,869655948
63488,2048,293.31,128,13.60,897844620
65536,2048,291.05,128,13.47,926033292
