ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,389.76,128,16.54,52184460
4096,2048,387.57,128,16.41,80373132
6144,2048,382.28,128,16.37,108561804
8192,2048,378.49,128,16.04,136750476
10240,2048,373.61,128,16.02,164939148
12288,2048,370.07,128,15.95,193127820
14336,2048,366.44,128,15.88,221316492
16384,2048,364.85,128,15.95,249505164
18432,2048,361.81,128,15.83,277693836
20480,2048,358.34,128,15.75,305882508
22528,2048,355.43,128,15.65,334071180
24576,2048,352.01,128,15.55,362259852
26624,2048,349.45,128,15.48,390448524
28672,2048,346.24,128,15.34,418637196
30720,2048,343.56,128,15.25,446825868
32768,2048,340.68,128,14.70,475014540
34816,2048,327.80,128,14.61,503203212
36864,2048,325.43,128,14.56,531391884
38912,2048,323.02,128,14.48,559580556
40960,2048,320.29,128,14.47,587769228
43008,2048,317.72,128,14.37,615957900
45056,2048,315.21,128,14.35,644146572
47104,2048,313.06,128,14.26,672335244
49152,2048,310.34,128,14.22,700523916
51200,2048,305.85,128,14.11,728712588
53248,2048,303.31,128,14.00,756901260
55296,2048,301.21,128,13.99,785089932
57344,2048,299.23,128,13.86,813278604
59392,2048,297.12,128,13.83,841467276
61440,2048,295.21,128,13.74,869655948
63488,2048,292.93,128,13.68,897844620
65536,2048,290.54,128,13.60,926033292
