row,rows,ctx_first,ctx_last,gen_first,gen_8192,gen_last,gen_mean,gen_max,gen_ss_mean,prefill_mean,prefill_max
attn_b_cublas_min1,32,2048,65536,16.41,16.0,13.48,14.853125,16.41,14.853125,335.795,388.59
exact_fast,32,2048,65536,16.48,16.06,13.53,14.900625,16.48,14.900625,336.0546875,389.15
graph,32,2048,65536,16.18,15.73,13.26,14.6021875,16.18,14.6021875,336.5909375,389.81
moe_fused_midq,32,2048,65536,16.33,15.87,13.43,14.745625,16.33,14.745625,338.3959375,390.46
moe_h16,32,2048,65536,16.48,16.07,13.53,14.906875,16.48,14.906875,336.109375,389.31
moe_noaux,32,2048,65536,16.44,16.01,13.49,14.86125,16.44,14.86125,336.144375,389.06
moe_pair2,32,2048,65536,16.21,15.76,13.33,14.6559375,16.21,14.6559375,336.50125,388.59
output_top1,32,2048,65536,16.42,16.0,13.5,14.8503125,16.42,14.8503125,335.46999999999997,387.69
plain,32,2048,65536,16.28,15.78,13.32,14.6528125,16.28,14.6528125,337.8565625,395.5
soa_b_forced,32,2048,65536,16.66,16.17,13.66,15.045937499999999,16.66,15.045937499999999,334.958125,388.0
soa,32,2048,65536,16.42,15.98,13.51,14.85625,16.42,14.85625,336.349375,389.54
soa_cache_x,32,2048,65536,16.37,15.97,13.45,14.816875,16.37,14.816875,336.0915625,388.88
soa_qb,32,2048,65536,16.48,16.05,13.54,14.9075,16.48,14.9075,335.4178125,388.27
soa_qkv,32,2048,65536,16.45,16.04,13.47,14.869375,16.45,14.869375,336.33375,389.39
soa_shared,32,2048,65536,16.54,16.04,13.6,14.96375,16.54,14.96375,336.214375,389.76
