ds4-bench: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: CUDA backend initialized on NVIDIA GB10 (sm_121)
ds4: CUDA using unordered one-token F16 matmul (Blackwell sm_121)
ds4: CUDA host registration skipped: operation not supported
ds4: CUDA loading model tensors into device cache
ds4: CUDA loading model tensors 16.02 GiB cached
ds4: CUDA loading model tensors 32.06 GiB cached
ds4: CUDA loading model tensors 48.02 GiB cached
ds4: CUDA loading model tensors 64.06 GiB cached
ds4: CUDA loading model tensors 80.04 GiB cached
ds4: CUDA startup model cache prepared 80.76 GiB of tensor spans in 19.513s
ds4: cuda backend initialized for graph diagnostics
ds4: metal indexer stage layer=2 pos=2048 tokens=2048 comp=1024 score=2.705 ms
ds4: metal indexer stage layer=2 pos=2048 tokens=2048 comp=1024 topk=0.564 ms
ds4: metal indexer stage layer=2 pos=2048 tokens=2048 comp=1024 attention=26.901 ms
ds4: metal indexer stage layer=4 pos=2048 tokens=2048 comp=1024 score=2.670 ms
ds4: metal indexer stage layer=4 pos=2048 tokens=2048 comp=1024 topk=0.505 ms
ds4: metal indexer stage layer=4 pos=2048 tokens=2048 comp=1024 attention=26.760 ms
ds4: metal indexer stage layer=6 pos=2048 tokens=2048 comp=1024 score=2.660 ms
ds4: metal indexer stage layer=6 pos=2048 tokens=2048 comp=1024 topk=0.501 ms
ds4: metal indexer stage layer=6 pos=2048 tokens=2048 comp=1024 attention=27.026 ms
ds4: metal indexer stage layer=8 pos=2048 tokens=2048 comp=1024 score=2.674 ms
ds4: metal indexer stage layer=8 pos=2048 tokens=2048 comp=1024 topk=0.503 ms
ds4: metal indexer stage layer=8 pos=2048 tokens=2048 comp=1024 attention=27.020 ms
ds4: metal indexer stage layer=10 pos=2048 tokens=2048 comp=1024 score=2.680 ms
ds4: metal indexer stage layer=10 pos=2048 tokens=2048 comp=1024 topk=0.512 ms
ds4: metal indexer stage layer=10 pos=2048 tokens=2048 comp=1024 attention=26.997 ms
ds4: metal indexer stage layer=12 pos=2048 tokens=2048 comp=1024 score=2.750 ms
ds4: metal indexer stage layer=12 pos=2048 tokens=2048 comp=1024 topk=0.526 ms
ds4: metal indexer stage layer=12 pos=2048 tokens=2048 comp=1024 attention=26.930 ms
ds4: metal indexer stage layer=14 pos=2048 tokens=2048 comp=1024 score=2.692 ms
ds4: metal indexer stage layer=14 pos=2048 tokens=2048 comp=1024 topk=0.505 ms
ds4: metal indexer stage layer=14 pos=2048 tokens=2048 comp=1024 attention=26.555 ms
ds4: metal indexer stage layer=16 pos=2048 tokens=2048 comp=1024 score=2.689 ms
ds4: metal indexer stage layer=16 pos=2048 tokens=2048 comp=1024 topk=0.504 ms
ds4: metal indexer stage layer=16 pos=2048 tokens=2048 comp=1024 attention=26.558 ms
ds4: metal indexer stage layer=18 pos=2048 tokens=2048 comp=1024 score=2.696 ms
ds4: metal indexer stage layer=18 pos=2048 tokens=2048 comp=1024 topk=0.504 ms
ds4: metal indexer stage layer=18 pos=2048 tokens=2048 comp=1024 attention=26.746 ms
ds4: metal indexer stage layer=20 pos=2048 tokens=2048 comp=1024 score=2.715 ms
ds4: metal indexer stage layer=20 pos=2048 tokens=2048 comp=1024 topk=0.511 ms
ds4: metal indexer stage layer=20 pos=2048 tokens=2048 comp=1024 attention=27.080 ms
ds4: metal indexer stage layer=22 pos=2048 tokens=2048 comp=1024 score=2.671 ms
ds4: metal indexer stage layer=22 pos=2048 tokens=2048 comp=1024 topk=0.505 ms
ds4: metal indexer stage layer=22 pos=2048 tokens=2048 comp=1024 attention=26.744 ms
ds4: metal indexer stage layer=24 pos=2048 tokens=2048 comp=1024 score=2.667 ms
ds4: metal indexer stage layer=24 pos=2048 tokens=2048 comp=1024 topk=0.501 ms
ds4: metal indexer stage layer=24 pos=2048 tokens=2048 comp=1024 attention=26.988 ms
ds4: metal indexer stage layer=26 pos=2048 tokens=2048 comp=1024 score=2.658 ms
ds4: metal indexer stage layer=26 pos=2048 tokens=2048 comp=1024 topk=0.502 ms
ds4: metal indexer stage layer=26 pos=2048 tokens=2048 comp=1024 attention=27.047 ms
ds4: metal indexer stage layer=28 pos=2048 tokens=2048 comp=1024 score=3.010 ms
ds4: metal indexer stage layer=28 pos=2048 tokens=2048 comp=1024 topk=0.515 ms
ds4: metal indexer stage layer=28 pos=2048 tokens=2048 comp=1024 attention=26.907 ms
ds4: metal indexer stage layer=30 pos=2048 tokens=2048 comp=1024 score=3.233 ms
