Generating SQLite file tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_decode.sqlite from tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_decode.nsys-rep
Processing [tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_decode.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     16.6        632377888       2709   233435.9   232032.0    215936    437824      11488.9  moe_gate_up_mid_decode_lut_qwarp32_kernel(float *, float *, float *, const char *, const char *, co…
     14.5        552688000       5418   102009.6   120096.0     38912    262912      58598.4  matmul_q8_0_hc_expand_preq_warp8_kernel(float *, float *, const float *, const float *, const float…
     11.2        424641568       2709   156752.1   156576.0    147392    274496       4740.5  grouped_q8_0_a_preq_warp8_kernel(float *, const unsigned char *, const signed char *, const float *…
     11.1        420947488       2709   155388.5   155424.0    143008    283392       7182.0  matmul_q8_0_preq_batch_warp8_kernel(float *, const unsigned char *, const signed char *, const floa…
      7.8        296562144       2709   109472.9   109088.0     99840    190496       4334.4  moe_down_sum6_qwarp32_kernel(float *, const char *, const cuda_block_q8_K *, const int *, unsigned …
      5.9        224192352       2709    82758.3    82336.0     75296    148576       4351.5  matmul_q8_0_pair_swiglu_preq_warp8_kernel(float *, float *, float *, const unsigned char *, const u…
      4.6        173765504       3906    44486.8    38368.0     19072    151264      21564.9  matmul_f16_pair_kernel(float *, float *, const __half *, const __half *, const float *, unsigned lo…
      4.3        165280224       2709    61011.5    48736.0     40608    268544      16721.5  attention_decode_mixed_kernel(float *, const float *, const float *, const float *, const float *, …
      4.2        161176576         64  2518384.0  2510432.0   2488800   2754432      40518.7  matmul_q8_0_preq_kernel(float *, const unsigned char *, const signed char *, const float *, unsigne…
      3.4        128028288         43  2977402.0  2779616.0   2325216   5362368     643640.1  moe_down_expert_tile8_row32_kernel(float *, const char *, const cuda_block_q8_K *, const unsigned i…
      3.2        122322272         43  2844704.0  2724928.0   2180416   5040256     621689.5  moe_gate_up_mid_expert_tile8_row32_kernel(float *, float *, float *, const char *, const char *, co…
      2.5         95820192        344   278547.1   145264.0     30880    796768     223206.9  dequant_q8_0_to_f16_kernel(__half *, const unsigned char *, unsigned long, unsigned long, unsigned …
      2.5         94190912       2709    34769.6    34752.0     29536    101056       2937.9  matmul_q8_0_pair_preq_warp8_kernel(float *, float *, const unsigned char *, const unsigned char *, …
      1.6         61188416       5418    11293.5    11200.0      8768     89376       2415.6  hc_decode_pre_mix_parallel_kernel(float *, const float *, const __half *, float)                    
      1.1         40670304       2773    14666.5    14592.0     10432     44064       3378.7  matmul_f16_kernel(float *, const __half *, const float *, unsigned long, unsigned long, unsigned lo…
      1.0         39155296       5418     7226.9     6688.0      6400     49184       1208.7  hc_decode_pre_finish_kernel(float *, float *, float *, const float *, const float *, const float *,…
      0.8         29456832        257   114618.0    36704.0     10624    404448     130109.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x1_tn_align8>(T1::Params)   
      0.5         18655328       2709     6886.4     6400.0      6272     13184        844.8  kv_rope_fp8_store_raw_kernel(float *, float *, unsigned int, unsigned int, unsigned int, unsigned i…
      0.5         18339200         43   426493.0   427584.0    320992    498208      45592.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)   
      0.4         16242400       2752     5902.0     5888.0      4512     19424        532.3  router_select_warp_topk_kernel(int *, float *, float *, const float *, const int *, const float *, …
      0.4         15450848      13609     1135.3     1056.0       992     25152        456.9  quantize_q8_0_f32_kernel(signed char *, float *, const float *, unsigned long, unsigned long)       
      0.3          9911648       5504     1800.8     1664.0      1600     23648       1053.6  q8_K_quantize_kernel(cuda_block_q8_K *, const float *, unsigned int, unsigned int)                  
      0.3          9776032       2752     3552.3     3488.0      3200     22720        626.5  dsv4_qkv_rms_norm_rows_kernel(float *, const float *, const float *, unsigned int, float *, const f…
      0.2          6321088       3906     1618.3     1376.0      1280      8064        597.8  compressor_store_kernel(const float *, const float *, float *, float *, const void *, unsigned long…
      0.1          5071136       2709     1872.0     1856.0      1632     30272        616.9  head_rms_norm_rope_tail_kernel(float *, unsigned int, unsigned int, unsigned int, unsigned int, uns…
      0.1          4671424       2709     1724.4     1696.0      1632     15072        355.2  quantize_group_heads_inverse_rope_q8_0_kernel(signed char *, float *, const float *, unsigned int, …
      0.1          3408672         63    54105.9    53728.0     53312     75392       2764.5  indexer_top1_kernel(unsigned int *, const float *, unsigned int, unsigned int)                      
      0.1          3281344        864     3797.9     2304.0      1568     24096       3935.3  rms_norm_weight_kernel(float *, const float *, const float *, unsigned int, unsigned int, float)    
      0.1          2672832        150    17818.9    17296.0     16288     39456       2714.2  rms_norm_plain_kernel(float *, const float *, unsigned int, unsigned int, float)                    
      0.1          2652367        681     3894.8     2720.0       832     55200       3924.9  f32_to_f16_kernel(__half *, const float *, unsigned long)                                           
      0.1          2432480        400     6081.2     5792.0      5696     18432        954.1  fp8_kv_quantize_kernel(float *, unsigned int, unsigned int, unsigned int)                           
      0.1          1989024        672     2959.9     3424.0      1440      6496        947.9  compressor_update_pool_kernel(float *, const float *, const float *, unsigned int, unsigned int)    
      0.1          1964064         83    23663.4    24480.0     15424     64640       7832.2  nvjet_sm121_hss_mma_32x32x64_12_16x32x64_tmaAB_bz_TNNN                                              
      0.0          1870560         21    89074.3    88896.0     75520     96512       4118.1  nvjet_sm121_hss_mma_96x64x64_4_16x64x64_tmaAB_bz_TNNN                                               
      0.0          1661920         86    19324.7    19072.0     15552     59104       5093.7  hc_expand_kernel(float *, const float *, const float *, const float *, const float *, const float *…
