Generating SQLite file tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_soa_decode.sqlite from tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_soa_decode.nsys-rep
Processing [tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_soa_decode.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     23.6        128896224         43  2997586.6  2795392.0   2339392   5533344     631338.1  moe_down_expert_tile8_row32_kernel(float *, const char *, const cuda_block_q8_K *, const unsigned i…
     22.7        124024448         43  2884289.5  2742496.0   2265472   5118944     630814.0  moe_gate_up_mid_expert_tile8_row32_kernel(float *, float *, float *, const char *, const char *, co…
     22.5        123334496         86  1434122.0  1418368.0   1363424   1650752      51620.7  q8_0_to_soa_kernel(__half *, signed char *, const unsigned char *, unsigned long)                   
     17.6         96063104        344   279253.2   143664.0     32768    895552     226492.9  dequant_q8_0_to_f16_kernel(__half *, const unsigned char *, unsigned long, unsigned long, unsigned …
      5.3         28925088        257   112549.0    39008.0     11008    366560     124396.0  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x1_tn_align8>(T1::Params)   
      2.9         15770880         43   366764.7   368768.0    258528    447648      36805.2  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)   
      0.5          2613749        681     3838.1     2656.0       832     19936       3298.3  f32_to_f16_kernel(__half *, const float *, unsigned long)                                           
      0.5          2540448          1  2540448.0  2540448.0   2540448   2540448          0.0  matmul_q8_0_preq_kernel(float *, const unsigned char *, const signed char *, const float *, unsigne…
      0.3          1878112         21    89433.9    89664.0     76096     94080       3652.0  nvjet_sm121_hss_mma_96x64x64_4_16x64x64_tmaAB_bz_TNNN                                               
      0.3          1847168         83    22255.0    23232.0     16128     34496       5155.4  nvjet_sm121_hss_mma_32x32x64_12_16x32x64_tmaAB_bz_TNNN                                              
      0.3          1803200         86    20967.4    20848.0     15712     61600       6583.2  hc_expand_kernel(float *, const float *, const float *, const float *, const float *, const float *…
      0.3          1692160         87    19450.1    18464.0     16736     39968       4055.3  rms_norm_plain_kernel(float *, const float *, unsigned int, unsigned int, float)                    
      0.3          1397408         43    32497.9    24320.0     22784     87776      15506.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x1_tn_align2>(T1::Params)   
      0.3          1382880         85    16269.2    16192.0     12544     21568       1797.2  nvjet_sm121_hss_mma_64x56x64_6_16x56x64_tmaAB_splitK_TNNN                                           
      0.2          1266240         43    29447.4    29216.0     17504     47936       3555.1  attention_pack_group_heads_f16_kernel(__half *, const float *, unsigned int, unsigned int, unsigned…
      0.2          1125984        129     8728.6    10816.0      1568     21408       5046.8  rms_norm_weight_kernel(float *, const float *, const float *, unsigned int, unsigned int, float)    
      0.2          1117568        108    10347.9     9904.0      4448     23104       3938.9  nvjet_sm121_hss_mma_32x16x64_16_32x8x64_tmaAB_splitK_TNNN                                           
      0.2          1043744        362     2883.3     2496.0      1088     30944       2522.6  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, floa…
      0.1           804896         84     9582.1     9376.0      5984     41664       5016.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)   
      0.1           773088         43    17978.8    17024.0     16384     33952       3511.7  moe_build_expert_tile_offsets_kernel(unsigned int *, unsigned int *, const unsigned int *, unsigned…
      0.1           752576         86     8750.9     8560.0      7680     17344       1791.2  hc_split_weighted_sum_fused_kernel(float *, float *, const float *, const float *, const float *, c…
      0.1           691392         86     8039.4     9216.0      3936     17984       3857.3  q8_K_quantize_kernel(cuda_block_q8_K *, const float *, unsigned int, unsigned int)                  
      0.1           627776         43    14599.4    13952.0     11808     17920       1558.0  attention_prefill_unpack_heads_kernel(float *, const float *, unsigned int, unsigned int, unsigned …
      0.1           579104         43    13467.5    12288.0      9856     22208       3382.0  moe_sum_kernel(float *, const float *, unsigned int, unsigned int, unsigned int)                    
      0.1           476384         43    11078.7    10720.0     10144     15328        888.4  head_rms_norm_kernel(float *, unsigned int, unsigned int, unsigned int, float)                      
      0.1           476192         43    11074.2    10688.0     10368     18720       1587.2  moe_prefix_sorted_pairs_kernel(unsigned int *, unsigned int *, const unsigned int *)                
      0.1           467296         64     7301.5     7968.0      5664      8256       1008.6  fp8_kv_quantize_kernel(float *, unsigned int, unsigned int, unsigned int)                           
      0.1           393408         22    17882.2    17824.0     16480     21120        934.2  void magma_sgemmEx_kernel<float, float, float, (bool)0, (bool)0, (int)6, (int)3, (int)5, (int)3, (i…
      0.1           371136         43     8631.1     7520.0      6848     33216       4333.2  router_select_warp_topk_kernel(int *, float *, float *, const float *, const int *, const float *, …
      0.1           365376         22    16608.0    16224.0     15712     26592       2245.3  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)               
      0.1           364544        228     1598.9      928.0       704     20960       1665.7  fill_f32_kernel(float *, unsigned long, float)                                                      
      0.1           351680        192     1831.7     1664.0      1024      3136        648.8  rope_tail_kernel(float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, uns…
      0.1           339616         22    15437.1    15440.0     14848     16768        450.9  attention_prefill_raw_softmax_kernel(float *, const float *, unsigned int, unsigned int, unsigned i…
      0.1           331808         21    15800.4    15200.0     15072     23776       2033.1  attention_prefill_mixed_softmax_kernel(float *, const float *, const float *, unsigned int, unsigne…
      0.1           291712         43     6784.0     6016.0      5728     29440       3584.2  attention_unpack_group_low_kernel(float *, const float *, unsigned int, unsigned int, unsigned int) 
      0.1           277408         21    13209.9    12832.0     11648     21344       2007.6  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params)               
      0.0           254528         21    12120.4    12160.0     11776     12608        181.0  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)              
      0.0           199712        146     1367.9     1328.0      1056      3456        347.5  compressor_set_rows_kernel(float *, float *, const float *, const float *, const void *, unsigned l…
      0.0           190752         42     4541.7     4464.0      1504      7904       3041.6  indexer_hadamard_fp4_kernel(float *, unsigned int, unsigned int)                                    
      0.0           181312         43     4216.6     3392.0      3200     11072       2074.5  dsv4_qkv_rms_norm_rows_kernel(float *, const float *, const float *, unsigned int, float *, const f…
      0.0           181216         42     4314.7     3600.0      2432      6528       1282.0  compressor_prefill_pool_kernel(float *, const float *, const float *, const float *, const float *,…
      0.0           139072         43     3234.2     2304.0      1984      6976       1487.5  swiglu_kernel(float *, const float *, const float *, unsigned int, float, float)                    
      0.0           106752         43     2482.6     2624.0      1120      3424        502.6  store_raw_kv_batch_kernel(float *, const float *, unsigned int, unsigned int, unsigned int, unsigne…
      0.0            88256         43     2052.5     1120.0      1056     21952       3812.4  moe_scatter_sorted_pairs_kernel(unsigned int *, unsigned int *, const int *, unsigned int)          
      0.0            61632         43     1433.3     1088.0      1056     11040       1625.8  moe_build_expert_tiles_kernel(unsigned int *, unsigned int *, const unsigned int *, const unsigned …
