Generating SQLite file tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_soa_node_decode.sqlite from tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_soa_node_decode.nsys-rep
Processing [tuning/gx10_matrix_results/profile_20260523_exact_fast/exact_fast_graph_soa_node_decode.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     16.1        633658720       2709   233908.7   231680.0    215520    432608      15314.1  moe_gate_up_mid_decode_lut_qwarp32_kernel(float *, float *, float *, const char *, const char *, co…
     10.8        423386976       2709   156289.0   155712.0    142528    240704       7104.7  matmul_q8_0_hc_expand_preq_warp8_soa_kernel(float *, float *, const float *, const float *, const f…
     10.8        422425440       2709   155934.1   155808.0    142784    272864       8495.2  matmul_q8_0_preq_batch_warp8_kernel(float *, const unsigned char *, const signed char *, const floa…
     10.5        411996384       2709   152084.3   151488.0    142656    261024       6861.9  grouped_q8_0_a_preq_warp8_soa_kernel(float *, const __half *, const signed char *, const signed cha…
      7.5        296216031       2709   109345.2   108768.0    100480    183968       5072.5  moe_down_sum6_qwarp32_kernel(float *, const char *, const cuda_block_q8_K *, const int *, unsigned …
      5.7        224496607       2709    82870.7    82592.0     75136    159520       5347.5  matmul_q8_0_pair_swiglu_preq_warp8_kernel(float *, float *, float *, const unsigned char *, const u…
      4.5        178161531       3906    45612.3    38768.0     19296    158464      22443.0  matmul_f16_pair_kernel(float *, float *, const __half *, const __half *, const float *, unsigned lo…
      4.4        171723424       2709    63390.0    57152.0     40832    274048      21903.3  attention_decode_mixed_kernel(float *, const float *, const float *, const float *, const float *, …
      4.0        156996160         64  2453065.0  2548432.0   2302400   2757152     125769.7  matmul_q8_0_preq_kernel(float *, const unsigned char *, const signed char *, const float *, unsigne…
      3.2        127008896         43  2953695.3  2784544.0   2271616   5327712     667434.5  moe_down_expert_tile8_row32_kernel(float *, const char *, const cuda_block_q8_K *, const unsigned i…
      3.1        122828064         86  1428233.3  1416752.0   1358208   1644928      47241.6  q8_0_to_soa_kernel(__half *, signed char *, const unsigned char *, unsigned long)                   
      3.1        121205888         43  2818741.6  2651616.0   2113728   5046464     611063.9  moe_gate_up_mid_expert_tile8_row32_kernel(float *, float *, float *, const char *, const char *, co…
      3.0        119194751       2709    43999.5    43552.0     39072    116320       3802.6  matmul_q8_0_hc_expand_preq_warp8_kernel(float *, float *, const float *, const float *, const float…
      2.4         95301152        344   277038.2   147248.0     31424    845984     221135.5  dequant_q8_0_to_f16_kernel(__half *, const unsigned char *, unsigned long, unsigned long, unsigned …
      2.4         94109983       2709    34739.8    34656.0     29760     97248       3006.2  matmul_q8_0_pair_preq_warp8_kernel(float *, float *, const unsigned char *, const unsigned char *, …
      1.6         63441440       5418    11709.4    11456.0      8960     75040       3214.2  hc_decode_pre_mix_parallel_kernel(float *, const float *, const __half *, float)                    
      1.1         41800735       2773    15074.2    14752.0     10720     69984       4016.5  matmul_f16_kernel(float *, const __half *, const float *, unsigned long, unsigned long, unsigned lo…
      1.0         40065086       5418     7394.8     6816.0      6496     34592       1319.0  hc_decode_pre_finish_kernel(float *, float *, float *, const float *, const float *, const float *,…
      0.7         29041664        257   113002.6    37248.0     10816    354208     126984.7  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_128x1_tn_align8>(T1::Params)   
      0.5         19832352       2709     7320.9     6560.0      6432     24928       1068.3  kv_rope_fp8_store_raw_dec_kernel(float *, float *, unsigned int, unsigned int, unsigned int, unsign…
