Generating SQLite file tuning/gx10_matrix_results/prototype_20260523_nsys_graph_decode_window/decode_window.sqlite from tuning/gx10_matrix_results/prototype_20260523_nsys_graph_decode_window/decode_window.nsys-rep
Processing [tuning/gx10_matrix_results/prototype_20260523_nsys_graph_decode_window/decode_window.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     18.7       1019281696       4345   234587.3   232192.0    216896    421376      15541.9  moe_gate_up_mid_decode_lut_qwarp32_kernel(float *, float *, float *, const char *, const char *, co…
     12.4        678858624       4345   156239.0   156256.0    143968    231744       7330.4  matmul_q8_0_hc_expand_preq_warp8_soa_kernel(float *, float *, const float *, const float *, const f…
     12.3        674212832       4345   155169.8   155552.0    143168    277248       8798.3  matmul_q8_0_preq_batch_warp8_kernel(float *, const unsigned char *, const signed char *, const floa…
     12.1        662125376       4345   152387.9   151968.0    143168    276608       6639.0  grouped_q8_0_a_preq_warp8_soa_kernel(float *, const __half *, const signed char *, const signed cha…
      8.8        478897727       4345   110218.1   109408.0    100192    207744       5605.1  moe_down_sum6_qwarp32_kernel(float *, const char *, const cuda_block_q8_K *, const int *, unsigned …
      6.7        366510398       4345    84352.2    84128.0     75744    167040       5300.9  matmul_q8_0_pair_swiglu_preq_warp8_kernel(float *, float *, float *, const unsigned char *, const u…
      5.5        301776895       4345    69453.8    74304.0     42720    325215      23617.8  attention_decode_mixed_kernel(float *, const float *, const float *, const float *, const float *, …
      5.3        287287837       6262    45878.0    39552.0     19168    159968      22627.4  matmul_f16_pair_kernel(float *, float *, const __half *, const __half *, const float *, unsigned lo…
      4.5        244228288        101  2418101.9  2328608.0   2271264   2662080     135099.2  matmul_q8_0_preq_kernel(float *, const unsigned char *, const signed char *, const float *, unsigne…
      3.5        193092576       4344    44450.4    44352.0     39072    127520       4117.3  matmul_q8_0_hc_expand_preq_warp8_kernel(float *, float *, const float *, const float *, const float…
      2.8        152142911       4345    35015.6    34912.0     29888    107200       3188.2  matmul_q8_0_pair_preq_warp8_kernel(float *, float *, const unsigned char *, const unsigned char *, …
      1.8        100782495       8690    11597.5    11392.0      8960     69568       3076.0  hc_decode_pre_mix_parallel_kernel(float *, const float *, const __half *, float)                    
      1.2         65981471       4446    14840.6    14720.0     10624     60256       3587.1  matmul_f16_kernel(float *, const __half *, const float *, unsigned long, unsigned long, unsigned lo…
      1.2         64194909       8690     7387.2     6848.0      6496     41568       1220.2  hc_decode_pre_finish_kernel(float *, float *, float *, const float *, const float *, const float *,…
      0.6         32416416       4345     7460.6     7936.0      6464     16992        916.8  kv_rope_fp8_store_raw_dec_kernel(float *, float *, unsigned int, unsigned int, unsigned int, unsign…
      0.5         26896895      21825     1232.4     1152.0      1024     17024        363.9  quantize_q8_0_f32_kernel(signed char *, float *, const float *, unsigned long, unsigned long)       
      0.5         25779616       4345     5933.2     5920.0      3264     31392        777.6  router_select_warp_topk_kernel(int *, float *, float *, const float *, const int *, const float *, …
      0.3         16160607       8690     1859.7     1760.0      1664     25696        444.5  q8_K_quantize_kernel(cuda_block_q8_K *, const float *, unsigned int, unsigned int)                  
      0.3         15687616       4345     3610.5     3552.0      3456     29312        585.1  dsv4_qkv_rms_norm_rows_kernel(float *, const float *, const float *, unsigned int, float *, const f…
      0.2         12151328       4345     2796.6     2720.0      2112     21408        629.7  head_rms_norm_rope_tail_dec_kernel(float *, unsigned int, unsigned int, unsigned int, unsigned int,…
      0.2         11166975       6262     1783.3     1472.0      1376     18432        735.9  compressor_store_kernel(const float *, const float *, float *, float *, const void *, unsigned long…
      0.2          9236188       4345     2125.7     2080.0      1824     12128        432.8  quantize_group_heads_inverse_rope_q8_0_dec_kernel(signed char *, float *, const float *, unsigned i…
      0.1          5495360        101    54409.5    54176.0     53600     63328       1142.8  indexer_top1_kernel(unsigned int *, const float *, unsigned int, unsigned int)                      
      0.1          3581408       1171     3058.4     2400.0      1728     36032       3019.7  rms_norm_weight_kernel(float *, const float *, const float *, unsigned int, unsigned int, float)    
      0.1          3481920       1070     3254.1     2848.0      1504     21120       2071.4  compressor_update_pool_kernel(float *, const float *, const float *, unsigned int, unsigned int)    
      0.1          3244224        545     5952.7     5920.0      5824     15872        526.3  fp8_kv_quantize_kernel(float *, unsigned int, unsigned int, unsigned int)                           
      0.0          1702528        101    16856.7    16672.0     16512     33152       1639.8  rms_norm_plain_kernel(float *, const float *, unsigned int, unsigned int, float)                    
      0.0          1385952       1050     1320.0     1280.0      1152     10368        560.3  compressor_shift_ratio4_kernel(float *, float *, unsigned int)                                      
      0.0          1287872       1070     1203.6     1184.0      1088      9344        448.9  rope_tail_kernel(float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, uns…
      0.0           874624        525     1666.0     1664.0      1600      3296         84.9  indexer_hadamard_fp4_kernel(float *, unsigned int, unsigned int)                                    
      0.0           602464        102     5906.5     4352.0      2048     13440       2334.6  embed_token_hc_dec_kernel(float *, const unsigned short *, unsigned int, unsigned int)              
      0.0           147072        101     1456.2     1440.0      1408      1792         40.6  hc_weighted_sum_kernel(float *, const float *, const float *, unsigned int, unsigned int, unsigned …
      0.0           130880        101     1295.8     1280.0      1248      1536         38.0  output_hc_weights_kernel(float *, const float *, const float *, const float *, unsigned int, unsign…

