Generating SQLite file tuning/gx10_matrix_results/prototype_20260523_nsys_graph_exact/decode_graph_exact.sqlite from tuning/gx10_matrix_results/prototype_20260523_nsys_graph_exact/decode_graph_exact.nsys-rep
Processing [tuning/gx10_matrix_results/prototype_20260523_nsys_graph_exact/decode_graph_exact.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     14.9        313759135       1333   235378.2   232064.0    219200    423648      19402.2  moe_gate_up_mid_decode_lut_qwarp32_kernel(float *, float *, float *, const char *, const char *, co…
     10.0        209822720       1333   157406.4   157408.0    145728    236736       7662.1  matmul_q8_0_hc_expand_preq_warp8_soa_kernel(float *, float *, const float *, const float *, const f…
      9.8        207385632       1333   155578.1   155936.0    143168    291392       8529.5  matmul_q8_0_preq_batch_warp8_kernel(float *, const unsigned char *, const signed char *, const floa…
      9.7        204523456       1333   153430.9   152640.0    143616    240800       7012.5  grouped_q8_0_a_preq_warp8_soa_kernel(float *, const __half *, const signed char *, const signed cha…
      6.9        146416320       1333   109839.7   109024.0    100928    194848       6189.3  moe_down_sum6_qwarp32_kernel(float *, const char *, const cuda_block_q8_K *, const int *, unsigned …
      5.9        123395296         86  1434829.0  1417632.0   1371008   1698496      52839.1  q8_0_to_soa_kernel(__half *, signed char *, const unsigned char *, unsigned long)                   
      5.3        111948254       1333    83982.2    83808.0     75520    153344       5027.4  matmul_q8_0_pair_swiglu_preq_warp8_kernel(float *, float *, float *, const unsigned char *, const u…
      4.5         94549216        344   274852.4   144576.0     34144    590688     219812.8  dequant_q8_0_to_f16_kernel(__half *, const unsigned char *, unsigned long, unsigned long, unsigned …
      4.2         88403839       1922    45995.8    39104.0     19200    156192      22775.1  matmul_f16_pair_kernel(float *, float *, const __half *, const __half *, const float *, unsigned lo…
      3.7         79054112         43  1838467.7  1776800.0   1225248   3089728     359417.0  moe_down_expert_tile8_row32_kernel(float *, const char *, const cuda_block_q8_K *, const unsigned i…
      3.7         78768992         32  2461531.0  2551568.0   2306720   2575872     112957.5  matmul_q8_0_preq_kernel(float *, const unsigned char *, const signed char *, const float *, unsigne…
      3.7         77514688       1333    58150.6    63008.0     35328    269408      22474.2  attention_decode_mixed_kernel(float *, const float *, const float *, const float *, const float *, …
      3.6         76399520         43  1776733.0  1730848.0   1159136   2902944     365288.7  moe_gate_up_mid_expert_tile8_row32_kernel(float *, float *, float *, const char *, const char *, co…
      2.8         59314719       1333    44497.2    44416.0     39200     95808       3669.4  matmul_q8_0_hc_expand_preq_warp8_kernel(float *, float *, const float *, const float *, const float…
      2.2         47234880       1333    35435.0    35360.0     29792     94560       3430.3  matmul_q8_0_pair_preq_warp8_kernel(float *, float *, const unsigned char *, const unsigned char *, …
      1.5         31315583       2666    11746.3    11584.0      9056     55392       2913.3  hc_decode_pre_mix_parallel_kernel(float *, const float *, const __half *, float)                    
      1.2         24629984        129   190930.1   251520.0     12960    318624     126397.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_16x16_128x1_tn_align8>(T1::Params)   
      1.0         20633600       1365    15116.2    14624.0     10656     75296       4477.7  matmul_f16_kernel(float *, const __half *, const float *, unsigned long, unsigned long, unsigned lo…
      0.9         19823232       2666     7435.6     6816.0      6496     33184       1490.6  hc_decode_pre_finish_kernel(float *, float *, float *, const float *, const float *, const float *,…
