ds4: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: CUDA backend initialized on NVIDIA GB10 (sm_121)
ds4: CUDA using unordered one-token F16 matmul (Blackwell sm_121)
ds4: CUDA host registration skipped: operation not supported
ds4: CUDA loading model tensors into device cache
ds4: CUDA loading model tensors 16.02 GiB cached
ds4: CUDA loading model tensors 32.06 GiB cached
ds4: CUDA loading model tensors 48.02 GiB cached
ds4: CUDA loading model tensors 64.06 GiB cached
ds4: CUDA loading model tensors 80.04 GiB cached
ds4: CUDA startup model cache prepared 80.76 GiB of tensor spans in 19.408s
ds4: cuda backend initialized for graph diagnostics
ds4: using GPU graph generation with layer-major graph prefill
ds4: gpu prefill layer 1/43ds4: gpu prefill layer 2/43ds4: gpu prefill layer 3/43ds4: gpu prefill layer 4/43ds4: gpu prefill layer 5/43ds4: gpu prefill layer 6/43ds4: gpu prefill layer 7/43ds4: gpu prefill layer 8/43ds4: gpu prefill layer 9/43ds4: gpu prefill layer 10/43ds4: gpu prefill layer 11/43ds4: gpu prefill layer 12/43ds4: gpu prefill layer 13/43ds4: gpu prefill layer 14/43ds4: gpu prefill layer 15/43ds4: gpu prefill layer 16/43ds4: gpu prefill layer 17/43ds4: gpu prefill layer 18/43ds4: gpu prefill layer 19/43ds4: gpu prefill layer 20/43ds4: gpu prefill layer 21/43ds4: gpu prefill layer 22/43ds4: gpu prefill layer 23/43ds4: gpu prefill layer 24/43ds4: gpu prefill layer 25/43ds4: gpu prefill layer 26/43ds4: gpu prefill layer 27/43ds4: gpu prefill layer 28/43ds4: gpu prefill layer 29/43ds4: gpu prefill layer 30/43ds4: gpu prefill layer 31/43ds4: gpu prefill layer 32/43ds4: gpu prefill layer 33/43ds4: gpu prefill layer 34/43ds4: gpu prefill layer 35/43ds4: gpu prefill layer 36/43ds4: gpu prefill layer 37/43ds4: gpu prefill layer 38/43ds4: gpu prefill layer 39/43ds4: gpu prefill layer 40/43ds4: gpu prefill layer 41/43ds4: gpu prefill layer 42/43ds4: gpu prefill layer 43/43
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 attn_hc_pre=0.047 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 attn_norm=0.006 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 q_path=0.244 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 kv_path=0.023 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 compressor_indexer=0.001 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 attention=0.436 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 attn_output=0.354 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 ffn_hc_pre=0.030 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 router=0.034 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 routed_moe=0.390 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 shared_gate_up=0.099 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 shared_down=0.067 ms
ds4: metal layer stage part=decode layer=0 pos=24 tokens=1 ffn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 attn_hc_pre=0.030 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 attn_norm=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 q_path=0.212 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 kv_path=0.013 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 compressor_indexer=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 attention=0.048 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 attn_output=0.320 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 attn_hc_post=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 ffn_hc_pre=0.027 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 routed_moe=0.358 ms
ds4: metal layer stage part=decode layer=1 pos=24 tokens=1 shared_gate_up=0.105 ms
