ds4-bench: context buffers 1896.58 MiB (ctx=100000, backend=cuda, prefill_chunk=2048, raw_kv_rows=2304, compressed_kv_rows=25002)
ds4: CUDA backend initialized on NVIDIA GB10 (sm_121)
ds4: CUDA using unordered one-token F16 matmul (Blackwell sm_121)
ds4: CUDA host registration skipped: operation not supported
ds4: CUDA loading model tensors into device cache
ds4: CUDA loading model tensors 16.02 GiB cached
ds4: CUDA loading model tensors 32.06 GiB cached
ds4: CUDA loading model tensors 48.02 GiB cached
ds4: CUDA loading model tensors 64.06 GiB cached
ds4: CUDA loading model tensors 80.04 GiB cached
ds4: CUDA startup model cache prepared 80.76 GiB of tensor spans in 19.412s
ds4: cuda backend initialized for graph diagnostics
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 attn_hc_pre=0.048 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 attn_norm=0.036 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 q_path=0.252 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 kv_path=0.026 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 compressor_indexer=0.002 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 attention=0.085 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 attn_output=0.353 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 attn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 ffn_hc_pre=0.026 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 ffn_norm=0.002 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 router=0.032 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 routed_moe=0.421 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 shared_gate_up=0.106 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 shared_down=0.070 ms
ds4: metal layer stage part=decode layer=0 pos=8192 tokens=1 ffn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 attn_hc_pre=0.030 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 attn_norm=0.002 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 q_path=0.214 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 kv_path=0.016 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 compressor_indexer=0.002 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 attention=0.073 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 attn_output=0.319 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 attn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 ffn_hc_pre=0.029 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 ffn_norm=0.002 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 routed_moe=0.357 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 shared_gate_up=0.091 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 shared_down=0.057 ms
ds4: metal layer stage part=decode layer=1 pos=8192 tokens=1 ffn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 attn_hc_pre=0.028 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 attn_norm=0.002 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 q_path=0.215 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 kv_path=0.014 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 compressor_indexer=0.315 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 attention=0.201 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 attn_output=0.311 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 attn_hc_post=0.002 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 ffn_hc_pre=0.028 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 ffn_norm=0.001 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 router=0.030 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 routed_moe=0.355 ms
ds4: metal layer stage part=decode layer=2 pos=8192 tokens=1 shared_gate_up=0.102 ms
